INVENTORYSHARE,SURPLUSRESERVE,DEFERINCOMETAXLIAB,INVREVALUERESERVE,INTERESTPAY,RETAINEDEARNING,HELDMATURITYINV,OTHERASSET,BONDPAY,CDANDBILLREC,CD,CAPITALRESERVE,ANTICIPATELIAB,REPORTDATE,DEFINEFVALUEFASSET,LATESTNOTICEDATE,MASSETDEVALUE,INVJOINT,ENDDATE,LOANADVANCES,GOODWILL,BORROWFROMCBANK,SUMSHEQUITY,ASSETOTHER,DEFINEFVALUEFLIAB,FIDEPOSIT,ESTATEINVEST,OUTWARDREMITTANCE,PARENTEQUITYOTHER,GENERALRISKPREPARE,ACCOUNTREC,INTERESTREC,LIABBALANCE,SUMASSET,DIFFCONVERSIONFC,MASSET,JUNIORBONDPAY,LIABOTHER,INTANGIBLEASSET,INVSUBSIDIARY,OTHERLIAB,MINORITYEQUITY,SHEQUITYOTHER,DIVIDENDPAY,LTEQUITYINV,REMARK,CASHANDDEPOSITCBANK,ACCEPTDEPOSIT,SUMLIABSHEQUITY,ASSETBALANCE,HEDGERESERVE,LIABSHEQUITYBALANCE,DERIVEFASSET,PRECIOUSMETAL,SHEQUITY,FVALUEFLIAB,NETMASSET,LENDFUND,SALARYPAY,DEFERINCOMETAXASSET,STARTDATE,BORROWFUND,BUYSELLBACKFASSET,FIRSTNOTICEDATE,SALEABLEFASSET,LIABSHEQUITYOTHER,TRADEFASSET,TRADEFLIAB,DERIVEFLIAB,SUGGESTASSIGNDIVI,FIXEDASSET,SUMLIAB,SUMPARENTEQUITY,SELLBUYBACKFASSET,PARENTEQUITYBALANCE,CONSTRUCTIONPROGRESS,TAXPAY,FVALUEFASSET,SHEQUITYBALANCE,INVESTREC,DEPOSITINFI,AGENCYASSETS,AGENCYLIAB,SUSTAINBOND,OTHEREQUITY,OTHERCINCOME,OTHEREQUITYOTHER,PREFERSTOCBOND,PREFERREDSTOCK,SUSTAINABLEDEBT,SHORTFINANCING,LTDEFERASSET,HELDSALELIAB,HELDSALEASS,DRAWINGEXP,AMORCOSTFASSET,AMORCOSTFLIAB,FVALUECOMPFASSET,CURRENCY,COMPANYCODE,REPORTSOURCETYPE,REPORTTIMETYPE,COMBINETYPE,COMPANYNAME,LEASE_LIAB,FINANCE_RECE,OTHER_EQUITY_INVEST,TRADE_FINLIAB_NOTFVTPL,USERIGHT_ASSET,OTHER_CREDITOR_INVEST,CREDITOR_INVEST,TRADE_FINASSET_NOTFVTPL,NOTE_PAYABLE,NOTE_RECE,ACCOUNTS_PAYABLE
,984876518,,,,-2665612372,,,,,,3122067334,1049699790,2019-12-31,,2020-10-31,,,2020-9-30,4662941121,,,8339102927,4644149261,,,,,,720438585.7,75685409.21,156400308.6,0,20793667846,,,,676130,4960797.52,,,708194943.2,,905251.45,631131438.8,,222211158.6,,20793667846,0,,,,,5469137919,,,,218537919.7,2264985137,2019-1-1,,,2020-4-30,,,,,,,8767077.5,12454564919,7630907984,,0,10200423.02,1682277.3,,0,,,,,,,,,,,,,8434837.29,,,,,,,CNY,10634774,三季度报告,年度报告,合并,,,,,1098192122,,,1527566949,5685123468,,,
,26245000000,,,,1.20494E+11,,34245000000,3.71904E+11,,,53533000000,2751000000,2019-12-31,,2021-3-27,,,2020-12-31,2.64414E+12,1281000000,2.24838E+11,3.86054E+11,83723000000,,4.4432E+11,,,,59417000000,,,0,4.73343E+12,,,,,1734000000,,45797000000,1072000000,,,,,3.6434E+11,3.01789E+12,4.73343E+12,0,,,13805000000,10826000000,52489000000,100000000,,60270000000,13667000000,16306000000,2019-1-1,1.66225E+11,6835000000,2020-3-28,,,,,13893000000,,19342000000,4.34738E+12,3.84982E+11,25603000000,0,,9322000000,2.11406E+11,0,,31358000000,,,,70067000000,2737000000,,,64906000000,,,,,,,1.04151E+12,,1.80005E+11,CNY,10008223,年度报告,年度报告,合并,,11069000000,,623000000,,11684000000,,,,,,
,2.92291E+11,1873000000,,,1.36854E+12,,2.44283E+11,7.42875E+11,3.55428E+11,3.55428E+11,1.49067E+11,,2019-12-31,,2021-3-27,,,2020-12-31,1.63266E+13,,1017000000,2.692E+12,,,1.77632E+12,,,,3.05019E+11,,,0,3.01094E+13,,,,,,,4.76415E+11,15817000000,,,32490000000,,3.31792E+12,2.29777E+13,3.01094E+13,0,,,68311000000,2.38061E+11,3.56407E+11,1.02242E+11,,5.67043E+11,35301000000,62536000000,2019-1-1,4.90253E+11,8.45186E+11,2020-3-28,,,,,85180000000,,2.44902E+11,2.74174E+13,2.67619E+12,2.63273E+11,0,39714000000,1.09601E+11,9.62078E+11,0,,4.75325E+11,,,,2.06132E+11,-1266000000,,,,,,,,,,5.20817E+12,,1.47687E+12,CNY,10008224,年度报告,年度报告,合并,,,,,,,,,,,,
,2.49178E+11,457000000,,,1.11653E+12,,1.94127E+11,1.07658E+12,,,1.34537E+11,42943000000,2019-12-31,,2021-3-27,,,2020-12-31,1.4542E+13,2809000000,5.49433E+11,2.23513E+12,14738000000,,1.6727E+12,,,,3.14389E+11,,,0,2.54363E+13,,,,,4502000000,,4.15435E+11,18870000000,,,11353000000,,2.62101E+12,1.83663E+13,2.54363E+13,0,,,34641000000,46169000000,2.50011E+11,2.81597E+11,,5.31146E+11,39075000000,72314000000,2019-1-1,5.21553E+11,5.57809E+11,2020-3-30,,,,,33782000000,,1.7074E+11,2.32011E+13,2.21626E+12,1.14658E+11,0,,86635000000,6.75361E+11,0,,4.19661E+11,,,,1.19627E+11,31986000000,,,79636000000,39991000000,,,,,,3.7403E+12,,1.79758E+12,CNY,10008225,年度报告,年度报告,合并,,,,,,,,,,,,
,10684000000,,,,2.97389E+11,,43047000000,8.99116E+11,,,74914000000,6253000000,2019-12-31,,2020-10-30,,,2020-9-30,3.34518E+12,532000000,1.68259E+11,5.49652E+11,1.06273E+11,,1.23394E+12,,,,78525000000,,,0,7.14568E+12,,,,,647000000,,40038000000,8292000000,,,3413000000,,4.86444E+11,3.79483E+12,7.14568E+12,0,,,32724000000,401000000,20774000000,,,2.31475E+11,17738000000,40799000000,2019-1-1,1.9231E+11,41861000000,2020-4-29,,,,,31444000000,,24641000000,6.59603E+12,5.4136E+11,1.93412E+11,0,3463000000,14476000000,,0,,87260000000,,,,55842000000,3232000000,,,55842000000,,,,,,,,,,CNY,10008226,三季度报告,年度报告,合并,,,,1929000000,4214000000,,5.99382E+11,1.44418E+12,6.52034E+11,,,
,10781000000,,,,1.1337E+11,,17941000000,5.13762E+11,,,80816000000,1734000000,2019-12-31,,2021-2-2,,,2020-12-31,2.25935E+12,7568000000,1.13331E+11,3.12983E+11,,,3.68691E+11,247000000,,,46348000000,,,0,3.93907E+12,,,,,4361000000,,17687000000,,,,,,2.5223E+11,2.45977E+12,3.93907E+12,0,,,18500000000,51191000000,19406000000,,,79369000000,14218000000,34725000000,2019-1-1,26071000000,62216000000,2020-2-14,,,,,21404000000,,11092000000,3.62609E+12,3.12983E+11,40099000000,0,,12031000000,,0,,85684000000,,,,39948000000,2314000000,,,19953000000,19995000000,,,,,,,,,CNY,10004085,年度报告,年度报告,合并,,7600000000,,1844000000,29691000000,7517000000,1.82264E+11,6.5629E+11,2.06682E+11,,,
,1.7491E+11,520000000,,,7.41101E+11,,1.08763E+11,1.10821E+12,,,1.73556E+11,30558000000,2019-12-31,,2020-10-31,,,2020-9-30,1.28196E+13,1381000000,6.08536E+11,1.95976E+12,,,1.50391E+12,,,,2.77016E+11,,,0,2.48783E+13,,,,,23118000000,,2.66897E+11,11407000000,,,6672000000,,2.6999E+12,1.88492E+13,2.48783E+13,0,,,24944000000,30063000000,3.49983E+11,24333000000,,5.23183E+11,50471000000,1.20952E+11,2019-1-1,3.25363E+11,7.08551E+11,2020-3-31,,,,,29548000000,,1.52484E+11,2.29185E+13,1.94836E+12,53197000000,0,,67827000000,8.01361E+11,0,,2.35742E+11,,,,1.99886E+11,31903000000,,,79899000000,1.19987E+11,,,,,,,,,CNY,10008271,三季度报告,年度报告,合并,,,,1.67483E+12,,,,4.94674E+12,,,,
,2.0475E+11,918000000,,,1.77141E+11,,75452000000,4.03918E+11,4.98991E+11,4.98991E+11,1.13663E+11,7361000000,2019-12-31,,2021-3-27,,,2020-12-31,5.18365E+12,,4.62933E+11,8.00912E+11,,,9.21654E+11,7894000000,,,1.17567E+11,,,0,9.9056E+12,,,,,3304000000,,1.40366E+11,7665000000,,,4600000000,,7.60185E+11,6.07291E+12,9.9056E+12,0,,,20937000000,,74263000000,26980000000,,4.96278E+11,11118000000,24065000000,2019-1-1,4.12637E+11,15555000000,2020-3-28,,,,,26424000000,,1.6857E+11,9.10469E+12,7.93247E+11,1.06858E+11,0,2609000000,11622000000,4.06498E+11,0,,1.36655E+11,,,,99870000000,5993000000,,,59876000000,39994000000,,,,,,1.92969E+12,,6.69656E+11,CNY,10008272,年度报告,年度报告,合并,,,,,,,,,,,,
7000000,1.74762E+11,5452000000,,,7.7694E+11,,2.88827E+11,1.09609E+12,,,1.36012E+11,24469000000,2019-12-31,,2020-10-31,,,2020-9-30,1.27434E+13,2686000000,8.46277E+11,1.9767E+12,,,1.66805E+12,23108000000,,,2.501E+11,,,0,2.27697E+13,,,,,20255000000,,4.69361E+11,1.24995E+11,,,23210000000,,2.14372E+12,1.58175E+13,2.27697E+13,0,,,93335000000,2.0621E+11,2.94388E+11,,,7.44572E+11,35906000000,44029000000,2019-1-1,4.62265E+11,1.54387E+11,2020-3-28,,,,,90060000000,,2.4454E+11,2.0793E+13,1.8517E+12,1.7741E+11,0,,59102000000,5.1825E+11,0,,5.0056E+11,,,,1.99893E+11,19613000000,,,1.59901E+11,39992000000,,,,,,2.77768E+12,,2.21813E+12,CNY,10008273,三季度报告,年度报告,合并,,21590000000,,,19475000000,22822000000,,,,,,
,1.25805E+11,634000000,,,1.7073E+11,,69653000000,1.0035E+12,,,81760000000,6698000000,2019-12-31,,2021-3-27,,,2020-12-31,3.93075E+12,6981000000,2.33423E+11,5.61051E+11,,,1.00083E+12,,,,76249000000,,,0,7.00593E+12,,,,,10357000000,,42341000000,7190000000,,,2049000000,,4.77853E+11,3.66184E+12,7.00593E+12,0,,,38719000000,30870000000,29352000000,,,1.72607E+11,12628000000,45532000000,2019-1-1,1.62541E+11,2873000000,2020-4-25,,,,,41503000000,,30383000000,6.44488E+12,5.53861E+11,2.27583E+11,0,,28060000000,,0,,1.03755E+11,,,,62698000000,7267000000,,,,,,,,,,,,,CNY,10002252,年度报告,年度报告,合并,,,,5794000000,23295000000,,4.97508E+11,1.07493E+12,5.05318E+11,,,
