PARENTCINCOME,NONOPERATEREVE,ENDDATE,PARENTNETPROFIT,REVEOTHER,INTNREVE,STARTDATE,REPORTDATE,INVESTJOINTINCOME,OPERATETAX,INCOMETAX,COMMEXP,OTHERREVE,FVALUEINCOME,BASICEPS,OTHERCINCOME,SUMCINCOME,OPERATEPROFIT,SUMPROFIT,COMMREVE,OPERATEMANAGEEXP,COMMNREVE,#N/A,OPERATEEXP,MINORITYCINCOME,INVESTINCOME,OPERATEEXPOTHER,NETPROFIT,MINORITYINCOME,LATESTNOTICEDATE,NONOPERATEEXP,INTEXP,INTREVE,EXCHANGEINCOME,DILUTEDEPS,FIRSTNOTICEDATE,OTHEREXP,ASSETDEVALUELOSS,OTHERCINCOMEREC,REMEDEFINEDBENEFIT,OTHERCINCOMEOTHER,OTHERCINCOMEBALANCE,DIFFCONVERSIONFC,RECOTHER,CANTRECOTHER,OTHERCINCOMECANTREC,INVESTEDREC,EFFECTIVECAFLHEDGING,INVESTEDCANTREC,MINORITYOTHERCINCOME,PARENTOTHERCINCOME,MIOTHERINCOME,CONTINUOUSONPROFIT,ADISPOSALINCOME,CURRENCY,COMBINETYPE,REPORTSOURCETYPE,COMPANYCODE,REPORTTIMETYPE,CREDDEVALUELOSS,FINANCE_OCI_AMT,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_IMPAIRMENT_RESERVE,ACF_END_INCOME,CREDITRISK_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE
-3997755507,139656627.3,2019-12-31,-3992827810,,,2019-1-1,2019-12-31,60287356.47,5349372.34,-1267767730,11412128.95,,13017466.47,-0.7301,-4927697.2,-3999030839,-5250833370,-5261870872,368050101.6,396126324.9,,478140150.9,872863049.7,-1275331.97,-287234904.8,,-3994103142,-1275331.97,2020-4-30,150694129.5,459975223.5,110090049.4,,-0.7301,2020-4-30,,,-4927697.2,,,,,,,,-4927697.2,,,,-4927697.2,,-3994103142,143226.13,CNY,合并,年度报告,10634774,年度报告,,,,,,,
38436000000,127000000,2020-12-31,37354000000,,1.01918E+11,2019-1-1,2019-12-31,,1400000000,7722000000,2808000000,751000000,-2162000000,0.68,1083000000,38524000000,45303000000,45163000000,25977000000,36218000000,23169000000,1.32812E+11,87509000000,88000000,7689000000,,37441000000,87000000,2021-3-27,267000000,1.08126E+11,2.10044E+11,1339000000,0.62,2020-3-28,544000000,382000000,1258000000,-180000000,,,47000000,1211000000,4000000,-176000000,,,,1000000,1082000000,108000000,37441000000,,CNY,合并,年度报告,10008223,年度报告,48965000000,,,,22000000,,
3.22853E+11,2222000000,2020-12-31,3.12224E+11,,6.32217E+11,2019-1-1,2019-12-31,2520000000,7677000000,78428000000,15777000000,75537000000,11312000000,0.86,10708000000,3.24069E+11,3.90568E+11,3.91789E+11,1.4635E+11,1.9905E+11,1.30573E+11,8.55428E+11,4.6486E+11,1216000000,9500000000,,3.13361E+11,1137000000,2021-3-27,1001000000,4.31228E+11,1.06345E+12,-3711000000,0.86,2020-3-28,79176000000,1.78957E+11,10669000000,,,,4326000000,-329000000,-51000000,-40000000,-530000000,-649000000,11000000,79000000,10629000000,,,,CNY,合并,年度报告,10008224,年度报告,,,7925000000,-74000000,,,
2.80268E+11,1467000000,2020-12-31,2.66733E+11,,5.37066E+11,2019-1-1,2019-12-31,249000000,6777000000,57375000000,15769000000,30043000000,2456000000,1.05,13546000000,2.82768E+11,3.26954E+11,3.26597E+11,1.26667E+11,1.79531E+11,1.10898E+11,7.05629E+11,3.78675E+11,2500000000,20549000000,521000000,2.69222E+11,2489000000,2021-3-27,1824000000,3.72819E+11,9.09885E+11,4617000000,1.05,2020-3-30,28846000000,,12833000000,199000000,,,2692000000,10433000000,503000000,702000000,,-292000000,,11000000,13535000000,,,,CNY,合并,年度报告,10008225,年度报告,1.63E+11,,,,3359000000,,
66133000000,368000000,2019-12-31,65868000000,,1.02988E+11,2019-1-1,2019-12-31,205000000,1756000000,7801000000,3955000000,775000000,1622000000,3.1,270000000,66972000000,74266000000,74503000000,53634000000,46557000000,49679000000,1.81308E+11,1.07042E+11,839000000,24992000000,8000000,66702000000,834000000,2020-4-29,131000000,1.66689E+11,2.69677E+11,851000000,3.1,2020-4-29,633000000,,-99000000,363000000,,,7000000,,,364000000,4000000,,,5000000,265000000,363000000,66702000000,38000000,CNY,合并,年度报告,10008226,年度报告,58088000000,,-776000000,666000000,393000000,,1000000
,99000000,2020-12-31,28195000000,,89961000000,2019-1-1,2019-12-31,,1290000000,8045000000,9160000000,110000000,49000000,1.54,1528000000,29723000000,36289000000,36240000000,45903000000,40852000000,36743000000,1.37958E+11,1.01669E+11,,9710000000,1056000000,28195000000,,2021-2-2,148000000,87588000000,1.77549E+11,1196000000,1.45,2020-2-14,,,1533000000,,,,1000000,1532000000,,-5000000,,,,,1528000000,219000000,28195000000,-30000000,CNY,合并,年度报告,10004085,年度报告,58471000000,,,,78000000,,-5000000
2.23536E+11,1812000000,2019-12-31,2.12098E+11,,4.86871E+11,2019-1-1,2019-12-31,45000000,5688000000,53652000000,16085000000,25762000000,9641000000,0.59,11701000000,2.24625E+11,2.66305E+11,2.66576E+11,1.03011E+11,1.91224E+11,86926000000,6.27268E+11,3.60963E+11,1089000000,15839000000,118000000,2.12924E+11,826000000,2020-3-31,1541000000,3.7227E+11,8.59141E+11,2229000000,0.59,2020-3-31,25328000000,,11153000000,,,,746000000,10407000000,,285000000,,,,263000000,11438000000,,,,CNY,合并,年度报告,10008271,年度报告,1.38605E+11,,,,,,285000000
80414000000,385000000,2020-12-31,77281000000,11687000000,1.44083E+11,2019-1-1,2019-12-31,414000000,2697000000,10138000000,4044000000,15523000000,1258000000,1,3202000000,81264000000,88148000000,88200000000,47669000000,66560000000,43625000000,2.32472E+11,1.44324E+11,850000000,12807000000,11702000000,78062000000,781000000,2021-3-27,333000000,2.2337E+11,3.67453E+11,2629000000,1,2020-3-28,11411000000,,3692000000,-20000000,,,1106000000,2595000000,-564000000,-559000000,,-9000000,,69000000,3133000000,573000000,,287000000,CNY,合并,年度报告,10008272,年度报告,51954000000,,,,-281000000,25000000,
2.05601E+11,1885000000,2019-12-31,1.87405E+11,,3.7425E+11,2019-1-1,2019-12-31,1057000000,4984000000,48754000000,15305000000,48336000000,4395000000,0.61,21775000000,2.23666E+11,2.49537E+11,2.50645E+11,1.04917E+11,1.53782E+11,89612000000,5.49182E+11,2.99645E+11,18065000000,23615000000,182000000,2.01891E+11,14486000000,2020-3-28,777000000,3.67957E+11,7.42207E+11,8974000000,0.61,2020-3-28,38726000000,,19685000000,,,,7089000000,602000000,-56000000,2090000000,-440000000,,,,21775000000,,,,CNY,合并,年度报告,10008273,年度报告,1.01971E+11,,11919000000,515000000,577000000,,2146000000
61519000000,106000000,2020-12-31,58911000000,,1.44523E+11,2019-1-1,2019-12-31,171000000,1946000000,10311000000,10749000000,1788000000,3765000000,1.95,2609000000,62115000000,69864000000,69817000000,35523000000,43052000000,24774000000,1.90688E+11,1.20824E+11,596000000,13571000000,-1000000,59506000000,595000000,2021-3-27,153000000,1.53244E+11,2.97767E+11,312000000,1.92,2020-4-25,1119000000,,2363000000,,,,-41000000,645000000,,245000000,,-1000000,,1000000,2608000000,485000000,59506000000,1470000000,CNY,合并,年度报告,10002252,年度报告,74708000000,,1760000000,,-309000000,,245000000
