BUYSUBSIDIARYPAY,NIPLEDGELOAN,DISPOSALINVREC,INVFLOWOUTOTHER,ISSUEBONDREC,OPERATEFLOWOUTBALANCE,OPERATEFLOWINOTHER,NIBUYBACKFUND,NDLOANADVANCES,GETSUBSIDIARYPAY,OPERATEFLOWBALANCE,BUYGOODSSERVICEPAY,SUBSIDIARYACCEPT,SUMOPERATEFLOWIN,EMPLOYEEPAY,INVFLOWOTHER,NETINVCASHFLOW,NIDEPOSITINCBANKFI,DISPSUBSIDIARYREC,EFFECTEXCHANGERATE,CASHEQUIENDING,FINAFLOWBALANCE,SUMINVFLOWIN,FINAFLOWOUTBALANCE,INTANDCOMMPAY,CASHEQUIENDINGBALANCE,INVINCOMEREC,REDUCEPLEDGETDEPOSIT,NIINSUREDDEPOSITINV,SALEGOODSSERVICEREC,TAXRETURNREC,SUMOPERATEFLOWOUT,OTHEROPERATEREC,NETRIREC,SUMINVFLOWOUT,NETOPERATECASHFLOW,SUBSIDIARYREDUCTCAPITAL,STARTDATE,LATESTNOTICEDATE,OPERATEFLOWINBALANCE,INTANDCOMMREC,NILOANADVANCES,NICASHEQUI,NIBORROWFROMFI,PREMIUMREC,NICASHEQUIBALANCE,SUMFINAFLOWOUT,INVPAY,CASHEQUIENDINGOTHER,ISLISTINGREPORT,REPORTDATE,GROUPID,OTHERFINAREC,FINAFLOWINBALANCE,FINAFLOWINOTHER,OPERATEFLOWOUTOTHER,NIBORROWFROMCBANK,ENDDATE,NICASHEQUIOTHER,INVFLOWOUTBALANCE,OTHERFINAPAY,ACCEPTINVREC,FIRSTNOTICEDATE,REPAYDEBTPAY,SUMFINAFLOWIN,DISPFILASSETREC,INVFLOWINBALANCE,OPERATEFLOWOTHER,NIDEPOSIT,NETFINACASHFLOW,DIVIPAY,NIBORROWFUND,OTHEROPERATEPAY,CASHEQUIBEGINNING,FINAFLOWOUTOTHER,NIDISPTRADEFASSET,INVFLOWBALANCE,BUYFILASSETPAY,LOANREC,SUBSIDIARYPAY,ADDPLEDGETDEPOSIT,FINAFLOWOTHER,INDEMNITYPAY,OTHERINVREC,TAXPAY,DIVIPROFITORINTPAY,OTHERINVPAY,INVFLOWINOTHER,CURRENCY,COMPANYCODE,COMBINETYPE,REPORTTIMETYPE,REPORTSOURCETYPE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,0,35827814.51,1200000,87543168.03,6115504.5,,-881633,,,,70258348.12,0,,,,0,,,,86674506.37,,50819827.24,868661.66,,881633,36723340.79,,2019-1-1,2020-3-10,0,,,37041707.79,,,0,,,,1,2019-12-31,,,0,,,,2019-12-31,,0,,1200000,2020-3-10,,1200000,,,,,1200000,,,3819618.64,33216640.33,,,0,881633,,,,,,,5056889.59,,,,CNY,10634787,合并,年度报告,年度报告
,,95196286.81,,,0,,,,,0,16998703.55,,33046440.04,72921168.24,,26120376.06,,,,15401762.47,0,95943117.81,0,,0,746831,,,32377181.97,,106622179.1,669258.07,,69822741.75,-73575739.01,,2019-1-1,2020-2-29,0,,,-10213532.98,,,0,107195408.1,,,1,2019-12-31,,144437238,0,,,,2019-12-31,,0,102202284.8,,2020-2-29,2500000,144437238,,0,,,37241829.97,,,16453977.76,25615295.45,,,0,69822741.75,,,,,,,248329.5,2493123.26,,,CNY,10004067,合并,年度报告,年度报告
,,4.35711E+11,,6.09328E+11,0,52140000000,,,,0,,,5.87214E+11,18090000000,,-1.02056E+11,,,671000000,1.79058E+11,0,4.66809E+11,0,80989000000,0,30934000000,,,,,6.27239E+11,46386000000,,5.68865E+11,-40025000000,,2019-1-1,2021-2-2,0,2.01527E+11,3.74197E+11,17257000000,,,0,4.50661E+11,5.65312E+11,,1,2019-12-31,,,0,6.09328E+11,1.6149E+11,,2020-12-31,,0,,,2020-2-14,4.41513E+11,6.09328E+11,164000000,0,,2.8585E+11,1.58667E+11,,1311000000,26083000000,1.61801E+11,,,0,3553000000,,,,,,,22879000000,3364000000,,,CNY,10004085,合并,年度报告,年度报告
,,1760945806,,14603433448,0,,,,9032616119,0,3.17301E+11,5170882539,4.69849E+11,16414442465,,-28626734554,,2987795243,348623418.5,1.59739E+11,0,15933752832,0,,0,2911602779,,,4.32736E+11,,4.24162E+11,37112763423,,44560487385,45686809515,,2019-1-1,2020-3-18,0,,,-15929512067,,,0,1.56732E+11,27924969315,,1,2019-12-31,,17958910865,0,,,,2019-12-31,,0,9877049331,11814284511,2020-3-18,1.00716E+11,1.23394E+11,96121888.34,0,,,-33338210446,,,29159789804,1.75668E+11,9316229225,,0,6244191971,79016907942,11147482398,,,,8177287114,61286938736,36822907477,1358709980,,CNY,10004086,合并,年度报告,年度报告
,,,,,0,,,,969530216,0,2805353838,3220000,5264435041,635119649.9,,-1031340391,,,14878.31,3285345233,0,357613.4,0,,0,,,,4536821506,,4324645475,727613534.9,,1031698004,939789566,,2019-1-1,2020-3-18,0,,,-595682024.4,,,0,2740366078,,,1,2019-12-31,,40000000,0,,,,2019-12-31,,0,123502169.5,3220000,2020-3-18,2193067000,2236220000,357613.4,0,,,-504146078.1,,,185325753.9,3881027258,,,0,62167787.99,2193000000,,,,,,698846233.3,423796908.6,,,CNY,10004095,合并,年度报告,年度报告
,,,,,0,,,,969530216,0,2805353838,3220000,5264435041,635119649.9,,-1031340391,,,14878.31,3285345233,0,357613.4,0,,0,,,,4536821506,,4324645475,727613534.9,,1031698004,939789566,,2019-1-1,2020-3-18,0,,,-595682024.4,,,0,2740366078,,,1,2019-12-31,,40000000,0,,,,2019-12-31,,0,123502169.5,3220000,2020-3-18,2193067000,2236220000,357613.4,0,,,-504146078.1,,,185325753.9,3881027258,,,0,62167787.99,2193000000,,,,,,698846233.3,423796908.6,,,CNY,10004095,合并,年度报告,年度报告
,,,,,0,,,,,0,639208411.4,,2728276550,178713870.7,,-84295870.07,,,-15181.39,1507189760,0,2237622621,0,,0,37502720.55,,,2648597165,,2124668825,79679385.47,,2321918491,603607724.8,,2019-1-1,2021-3-20,0,,,358667324.4,,,0,204370642.5,,,1,2019-12-31,,,0,,,,2020-12-31,,0,,,2020-3-14,2000000,43741293.64,119900,0,,,-160629348.9,,,106939638.5,1148522436,,,0,21918490.62,43741293.64,,,,,2200000000,1199806905,202370642.5,2300000000,,CNY,10634825,合并,年度报告,年度报告
,,,,,0,,,,,0,639208411.4,,2728276550,178713870.7,,-84295870.07,,,-15181.39,1507189760,0,2237622621,0,,0,37502720.55,,,2648597165,,2124668825,79679385.47,,2321918491,603607724.8,,2019-1-1,2021-3-20,0,,,358667324.4,,,0,204370642.5,,,1,2019-12-31,,,0,,,,2020-12-31,,0,,,2020-3-14,2000000,43741293.64,119900,0,,,-160629348.9,,,106939638.5,1148522436,,,0,21918490.62,43741293.64,,,,,2200000000,1199806905,202370642.5,2300000000,,CNY,10634825,合并,年度报告,年度报告
,,0,,,0,,,,,0,2977324289,,3691665900,212484712.4,,273069803.8,,194496787.3,-318422.69,588614658.5,0,830559912.7,0,,0,35100520.53,,,3529149852,,3857693775,162516047.2,,557490109,-166027875.3,,2019-1-1,2020-3-16,0,,,98398379.03,,,0,1637432937,9595.18,,1,2019-12-31,,131207810.2,0,,,,2019-12-31,,0,156409675.2,,2020-3-16,1428561800,1629107810,962604.86,0,,,-8325126.74,,,566093563.3,490216279.5,,,0,97480513.79,1497900000,,,,,600000000,101791210.7,52461461.81,460000000,,CNY,10002411,合并,年度报告,年度报告
