CAPITALRESERVE,SETTLEMENTPROVISION,LTACCOUNTPAY,BILLREC,LLIABOTHER,OTHERPAY,LASSETOTHER,LOANADVANCES,INTERESTPAY,SPECIALRESERVE,SELLBUYBACKFASSET,REPORTDATE,LIABOTHER,ADVANCEPAY,LTREC,SUMLLIAB,SUMLASSET,OTHERREC,ANTICIPATELIAB,NONLLIABONEYEAR,GENERALRISKPREPARE,SUMASSET,TRADEFLIAB,MONETARYFUND,DEFERINCOMETAXASSET,MINORITYEQUITY,OILGASASSET,ACCOUNTPAY,SUMLIABSHEQUITY,SUMNONLLIAB,BUYSELLBACKFASSET,AGENTTRADESECURITY,BORROWFROMCBANK,COMMPAY,INVENTORYSHARE,OTHERLASSET,ENDDATE,SUMLIAB,BORROWFUND,ACCOUNTREC,PREMIUMREC,SHEQUITYOTHER,SUMPARENTEQUITY,DEFERINCOME,ESTATEINVEST,STARTDATE,PARENTEQUITYOTHER,NONLLIABOTHER,OTHERNONLLIAB,PRODUCTBIOLOGYASSET,INTANGIBLEASSET,RICONTACTRESERVEREC,DIVIDENDREC,ADVANCERECEIVE,STBORROW,SALARYPAY,SURPLUSRESERVE,NONLASSETOTHER,SHARECAPITAL,LTBORROW,DEFERINCOMETAXLIAB,RETAINEDEARNING,SUMSHEQUITY,ANTICIPATELLIAB,CONSTRUCTIONPROGRESS,INTERESTREC,OTHERLLIAB,LATESTNOTICEDATE,HELDMATURITYINV,OTHERNONLASSET,INVENTORY,ASSETOTHER,TAXPAY,FIXEDASSET,CONTACTRESERVE,SUMNONLASSET,BONDPAY,NONLASSETONEYEAR,LTDEFERASSET,FIRSTNOTICEDATE,GOODWILL,RIPAY,STBONDREC,DIVIDENDPAY,LTEQUITYINV,AGENTUWSECURITY,DEVELOPEXP,RIREC,SALEABLEFASSET,LENDFUND,BILLPAY,DEPOSIT,SUSTAINBOND,CLHELDSALEASS,OTHERCINCOME,FVALUEFASSET,LTSALARYPAY,PREFERSTOCBOND,CLHELDSALELIAB,SUSTAINBOND,DEFINEFVALUEFASSET,FVALUEFLIAB,DEFINEFVALUEFLIAB,PREFERSTOCBOND,OTHEREQUITYOTHER,OTHEREQUITY,DERIVEFLIAB,DERIVEFASSET,SHORTFINANCING,ACCOUNTBILLPAY,ACCOUNTBILLREC,OTHERNONFASSET,OTHCREDINV,OTHEREQUITYINV,CREDINV,DRAWINGEXP,CONTRACTLIAB,CONTRACTASSET,AMORCOSTFLIAB,HELDSALEASS,FVALUECOMPFASSET,AMORCOSTFLIABFLD,HELDSALELIAB,FVALUECOMPFASSETFLD,AMORCOSTFASSETFLD,AMORCOSTFASSET,MARGINOUTFUND,CURRENCY,REPORTSOURCETYPE,REPORTTIMETYPE,COMPANYCODE,COMBINETYPE,TOTAL_OTHER_RECE,FINANCE_RECE,TRADE_FINLIAB_NOTFVTPL,USERIGHT_ASSET,LEASE_LIAB,TRADE_FINASSET_NOTFVTPL,TOTAL_OTHER_PAYABLE,CONSUMPTIVE_BIOLOGICAL_ASSET
6327451.85,,,190000,,,,,,,,2019-12-31,,18608935.05,,336317854.2,629527167.9,,,5000000,,1310347735,,265823301.5,12167336.38,,,32535322.37,1310347735,85728160.71,,,,,,52520059.77,2020-12-31,422046014.9,,265332964.5,,,888301720.2,36754562.55,,2019-1-1,,,,,70956105.67,,,83666590.75,110200509.2,58945548.82,28743688.7,,57000000,37700000,11273598.16,796102948.5,888301720.2,,120074982.8,,,2021-3-19,,11535203.05,3295553.38,,19988574.43,445875794,,680820567.1,,,19866660.77,2020-6-28,344484.5,,,,,,,,,,,,,,127631.1,,,,,,,,,,,,,,,32535322.37,265522964.5,,,,,,,,,,,,,,,,,CNY,年度报告,年度报告,10180251,合并,22650151.06,1106202.78,,,,,25981308.6,
72173321.2,,,,,,,,,,,2019-12-31,,3712838.08,,106860090.3,1001071541,,896066.76,,,1074368543,,977147358.9,156314.02,,,135464.98,1074368543,1382683.66,,,,,,11646.3,2020-9-30,108242774,,7613414.39,,,966125768.5,,2483921.36,2019-1-1,,,,,,,,84064280.2,,10938438.48,25000000,,50000000,,486616.9,813793232,966125768.5,,,6818465.75,,2020-10-30,,,,,11554906.68,17259747.82,,73297001.1,,,152905.2,2020-4-7,,,,,,,,,,,,,,,5159215.34,,,,,,,,,,,,,,,135464.98,7613414.39,,,53244112.7,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10183290,合并,12586283.71,,,,,,167000,
1227102210,,,14016131.43,,,,,,,,2019-12-31,,7415200.6,,1306133065,1955876719,,,,,5377956228,,214816503.7,17547046.69,24895106.6,,693392435.6,5377956228,180772612.8,,,,,68907149.76,258921283.3,2020-9-30,1486905678,,761084782.5,,,3866155443,45202260.61,,2019-1-1,,,,,279906546.3,,,5225501.71,200526736.8,42071139.3,169268472.3,,884026738,135570352.2,,1654665172,3891050550,,308849648.9,,437995.95,2020-10-31,,15161882.32,363268655.5,,24482821.51,2148927471,,3422079508,,,98567433.52,2020-4-30,476017.08,,,4307275.04,552643463,,,,,,210836856.5,,,,,,,,,,,,,,,,,,,904229292.1,775100913.9,,,,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10181895,合并,46231518.45,11668630.39,,,,278454013.7,129159577.7,
1009848737,,,18065599.33,,,,,131950,29334726.49,,2019-12-31,,372741314.2,,2003868559,2244427811,,,9457298.17,,8617532521,,1457753546,145907945.8,403065497.7,,312603777.5,8617532521,2007976069,,,,,,62689344.57,2020-9-30,4011844628,,163550273.2,,,4202622395,1818983151,62510351.66,2019-1-1,,,,,347307683.8,,,1215953582,80000000,148884361.4,271855735.6,,1556000000,180186009.1,8806909.26,1306048851,4605687893,,531093295,4137979.55,,2020-10-31,,1000000,83079399.51,,32407174.41,4455232923,,6373104710,,,47079473.66,2020-4-30,72141182.76,,,,639297161.9,,,,,,,,,,29534345.99,,,,,,,,,,,,,,,312603777.5,181615872.5,19429193.11,,52105499.13,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10083659,合并,86548334.64,,,,,,204562365.9,
705494628.9,,,94334461.52,,,,,,,,2019-12-31,,158043497.7,17665780.3,2421053433,3732869059,,,150000000,,5083452136,,925566925.9,50250472.62,20525904.31,,676567279,5083452136,221023237.9,,,,,,8137411.73,2020-9-30,2642076671,,1496613114,,,2420849560,70638737.04,106697189.6,2019-1-1,,,,,65379083.33,,,383711393.3,460709301.4,252870097,160349275.3,,395000000,111441319.4,13263181.45,1165070148,2441375465,,12117302.52,,,2020-10-31,,3939535,578290975.3,,25993178.29,620883276.7,,1350583077,,,42340375.18,2020-4-30,,,,,305700226.8,,,,,,308823265.3,,,,-5064491.19,,25680000,,,,,,,,,,,,,985390544.4,1590947576,124421209.7,,1188624.92,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10015551,合并,34997706.45,434788861.2,,,,2096105.5,162378919.1,
684784216.2,,,,,,,,,,,2019-12-31,,220767861.5,,934481773.4,1387634001,,,,,3113309634,,413922396.5,5946833.69,9987198.05,,301150734.2,3113309634,194717937.5,,,,,,79888124.68,2020-9-30,1129199711,,134908765.1,,,1974122725,194717937.5,,2019-1-1,,,,,25679329.73,,,317164397.8,200000000,31108713.71,129043819.1,,268800000,,,891732582.4,1984109923,,181048394.8,,,2020-10-31,,21406420.63,18627796.77,,26796616.47,765242251.1,,1725675634,,,552079613.1,2020-4-10,,,,38114,18107361.64,,,,,,27582552.16,,,,-237892.54,,,,,,,,,,,,,,,328733286.4,134908765.1,,,156165428.9,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10181834,合并,197037932.8,,,,,322481123.3,30678759.12,
173248352.4,,,,,,,,969695.56,,,2019-12-31,,693701508.9,,3721575337,4798139764,,,,,6318139723,,717648941.8,19478586.61,241108009.3,,480516661.5,6318139723,33235081.85,,,,,25377560,284892826,2020-12-31,3754810419,,396556506.1,,,2322221294,13235081.85,,2019-1-1,,,,77413747.19,51690165.31,,,792374752.5,1825340000,65029113.86,223638109.2,,988558480,20000000,,971014210.6,2563329304,,42261377.06,,,2021-3-30,,329714137.4,2670276669,,36764278.82,935530878.9,,1519999959,,,3753534.51,2020-4-29,59823738.7,,,,,,,,,,324887594.4,,,,-8860297.98,,,,,,,,,,,,,,,805404255.9,396556506.1,,,333792.96,,,,,,,,,,,,,,CNY,年度报告,年度报告,10181914,合并,24985312.24,10078000,,,,,196662936.1,
56468532.29,,,,,,,,,,,2019-12-31,,18587211.14,,352473567.7,1921847627,,,,,2437555335,,573668763.7,13618855.04,,,69641412.65,2437555335,1154879.59,,,,,,,2020-9-30,353628447.3,,405793783.3,,,2083926888,,,2019-1-1,,,,,76964356.76,,,9534500.84,,146425993.3,104894461.9,,720000000,,1154879.59,1202599690,2083926888,,,,38250920.23,2020-10-23,,10746425.99,164675529.1,,44143488.1,407878070.8,,515707708.6,,,,2020-4-14,,,,,,,,,,,,,,,-35796.13,,,,,,,,,,,,,,,69641412.65,405793783.3,,,6500000,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10181884,合并,27008956.56,120150089.9,,,,611963293.2,44477252.62,
251973028.5,,,58529829.18,,,,,731415.92,4830362.75,,2019-12-31,,13043749.57,,773125026.7,935127939.2,,,28480000,,2256808634,,123603224.8,16289518.81,,,38220688.49,2256808634,330645907.1,,,,,,666497.89,2020-9-30,1103770934,,93198727.17,,,1153037700,11095297.93,6414399.65,2019-1-1,,,300000,,131524854.7,,,14553602.52,642180635,9125041.47,95156017.65,,200908121,11520000,15018302.04,538452913.9,1153037700,,81598137.09,,,2020-10-27,,19465792,195173239,,14080088.99,441121608.2,,1321680694,292712307.1,,332500.01,2020-3-27,587876336.9,,,,,,37057547,,,,21451866.49,,,,,,,,,,,,,,,61717256.07,,,,59672554.98,151728556.4,,,,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10181946,合并,912671.55,,,,,450000000,5033103.72,
67117679.1,,,,,,,,558304.38,,,2019-12-31,,38145391.23,,672085001.8,1285132377,,,5000000,,1916031628,,219710278,6940030.72,66894092.94,,146827149.6,1916031628,92198623.93,,,,,21280900,11566317.26,2020-12-31,764283625.7,,473665712.7,,,1084853909,57583664.08,,2019-1-1,,,,,121959127.1,,,7172299.96,373512253.2,9652131.01,61556200.72,,407027500,29186614,5428345.85,570433429.1,1151748002,,28149614.17,,,2021-3-26,,9117914.55,323081178.5,,23154524.19,403378458.3,,630899250.1,,,991728.48,2020-4-9,26927490.68,,,37312845.48,27695286.82,,5739599.21,,,,13000000,,,,,,,,,,,,,,,,,,,159827149.6,473665712.7,,,,,,,,,,,,,,,,,CNY,年度报告,年度报告,10206401,合并,1793434.68,171216644,,,,45953421.09,93766643.91,
