NETPROFIT,FIRSTNOTICEDATE,INTEXP,INVESTINCOME,SURRENDERPREMIUM,TOTALOPERATEREVE,DILUTEDEPS,NONOPERATEREVE,NETCONTACTRESERVE,EXCHANGEINCOME,NONOPERATEEXP,PARENTOTHERCINCOME,COMMEXP,PREMIUMEARNED,SUMPROFIT,MINORITYCINCOME,COMBINEDNETPROFITB,INCOMETAX,MINORITYINCOME,TOTALOPERATEEXPOTHER,PARENTNETPROFIT,OTHERREVE,SALEEXP,BASICEPS,STARTDATE,PARENTCINCOME,POLICYDIVIEXP,SUMCINCOME,OTHEREXP,FVALUEINCOME,COMMREVE,FINANCEEXP,NETINDEMNITYEXP,OPERATEEXP,NONLASSETNETLOSS,INVESTJOINTINCOME,NETPROFITOTHER2,OPERATEREVE,OTHERCINCOME,TOTALOPERATEREVEOTHER,RDEXP,ASSETDEVALUELOSS,LATESTNOTICEDATE,OPERATETAX,OPERATEPROFIT,RIEXP,TOTALOPERATEEXP,INTREVE,MANAGEEXP,OPERATEPROFITBALANCE,MINORITYOTHERCINCOME,REPORTDATE,ENDDATE,MATURITYRECSALABLE,EFFECTIVECAFLHEDGING,INVESTEDCANTREC,OTHERCINCOMEOTHER,FVALUEOSALABLE,OTHERCINCOMEREC,CANTRECOTHER,INVESTEDREC,OTHERCINCOMECANTREC,RECOTHER,REMEDEFINEDBENEFIT,DIFFCONVERSIONFC,SUMCINCOMEOTHER,TERMINATIONONPROFIT,MIOTHERINCOME,CONTINUOUSONPROFIT,ADISPOSALINCOME,OFWINTREVE,CREDRISKFVALUE,OTHCREDINVCRED,OTHCREDINVFVALUE,OFWINTEXP,NETEXHEDGINCOME,CREDDEVALUELOSS,OTHEREQUITYINVFVALUE,FASSETRECOTHER,CURRENCY,COMPANYCODE,COMBINETYPE,REPORTTIMETYPE,REPORTSOURCETYPE,ACF_END_INCOME,CREDIT_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME
4556415.5,2020-3-10,,,,58113308.96,0.0115,95413.99,,,159912.86,,,,7428692.03,2704870.82,,2872276.53,2704870.82,,1851544.68,,1621231.65,0.0115,2019-1-1,1851544.68,,4556415.5,,414200,,-142410.95,,41673147.33,,,,58113308.96,,,948187.92,,2020-3-10,1150073.86,7493190.9,,51046455.62,,5796225.81,0,,2019-12-31,2019-12-31,,,,,,,,,,,,,,,,4556415.5,,156984.31,,,,,,,,,CNY,10634787,合并,年度报告,年度报告,,44313.59,-32176.03
28195000000,2020-2-14,87588000000,9710000000,,1.37958E+11,1.45,99000000,,1196000000,148000000,1528000000,9160000000,,36240000000,,,8045000000,,1056000000,28195000000,110000000,,1.54,2019-1-1,,,29723000000,,49000000,45903000000,,,,,,,1.37958E+11,1528000000,,,,2021-2-2,1290000000,36289000000,,1.01669E+11,1.77549E+11,40852000000,,,2019-12-31,2020-12-31,,,,,,1533000000,,,-5000000,1532000000,,1000000,,,219000000,28195000000,-30000000,,,,,,,58471000000,-5000000,,CNY,10004085,合并,年度报告,年度报告,78000000,,
55131614572,2020-3-18,,4984126780,,3.67894E+11,3.47,714732128.7,,,788578652.7,592318267.7,,,76539289518,16220466394,,21407674946,16259527691,,38872086881,,9044496840,3.47,2019-1-1,39464405149,,55684871543,,-68518913.61,,5735941712,,2.3455E+11,,3790598203,,3.67894E+11,553256970.6,,1066676029,,2020-3-18,32905223899,76613136042,,2.94321E+11,,11018405287,0,-39061297.12,2019-12-31,2019-12-31,,248059533.3,103440110.4,,,-114352033.3,,-320162674.7,706670301,,,-42248891.82,,,,55131614572,-9665523.59,3530404984,,,,9255269024,,,603230190.6,,CNY,10004086,合并,年度报告,年度报告,,-216850483,-1648756786
742130050.5,2020-3-18,,5076839.48,,3961669942,1.3722,23732348.28,,,4793503.85,-912189.75,,,1004846231,-75675729.58,,262716180.9,-75675729.58,,817805780.1,,111553952.5,1.3722,2019-1-1,816893590.4,,741217860.8,,,,134718833.6,,1433615885,,5076839.48,,3961669942,-912189.75,,,,2020-3-18,1081511281,985907387,,2966054505,,204654552.6,0,,2019-12-31,2019-12-31,,,,,,1139078.49,,,-2051268.24,,,1139078.49,,68776.81,5150377.43,742061273.7,,61860403.42,,,,194545794.1,,,-2051268.24,,CNY,10004095,合并,年度报告,年度报告,,-18701016.31,-1234250.84
742130050.5,2020-3-18,,5076839.48,,3961669942,1.3722,23732348.28,,,4793503.85,-912189.75,,,1004846231,-75675729.58,,262716180.9,-75675729.58,,817805780.1,,111553952.5,1.3722,2019-1-1,816893590.4,,741217860.8,,,,134718833.6,,1433615885,,5076839.48,,3961669942,-912189.75,,,,2020-3-18,1081511281,985907387,,2966054505,,204654552.6,0,,2019-12-31,2019-12-31,,,,,,1139078.49,,,-2051268.24,,,1139078.49,,68776.81,5150377.43,742061273.7,,61860403.42,,,,194545794.1,,,-2051268.24,,CNY,10004095,合并,年度报告,年度报告,,-18701016.31,-1234250.84
541197030.1,2020-3-14,,32429481.23,,2548740319,0.5461,1345428.49,,,226566.8,173182.46,,,731983330.8,-11605082.08,,190786300.7,-11255277.53,,552452307.6,,79480254.02,0.5461,2019-1-1,552625490.1,,541020408,,,,-20906149.2,,957752652.5,,1003829.25,,2548740319,-176622.09,,,,2021-3-20,751013928.2,730864469.1,,1836195304,,68854618.7,0,-349804.55,2019-12-31,2020-12-31,,,,,,-1480248.81,,,1653431.27,,,-1480248.81,,,1168127.9,541197030.1,,19686882.13,,,,38642.51,,,1653431.27,,CNY,10634825,合并,年度报告,年度报告,,-3111257.44,-12166897.84
541197030.1,2020-3-14,,32429481.23,,2548740319,0.5461,1345428.49,,,226566.8,173182.46,,,731983330.8,-11605082.08,,190786300.7,-11255277.53,,552452307.6,,79480254.02,0.5461,2019-1-1,552625490.1,,541020408,,,,-20906149.2,,957752652.5,,1003829.25,,2548740319,-176622.09,,,,2021-3-20,751013928.2,730864469.1,,1836195304,,68854618.7,0,-349804.55,2019-12-31,2020-12-31,,,,,,-1480248.81,,,1653431.27,,,-1480248.81,,,1168127.9,541197030.1,,19686882.13,,,,38642.51,,,1653431.27,,CNY,10634825,合并,年度报告,年度报告,,-3111257.44,-12166897.84
61761943,2020-3-16,,163818973.6,,2109850653,0.09,27156346.06,,,47555184.53,-6722739.14,,,77286382.8,-2771805.49,,15524439.8,-2771805.49,,64533748.49,,483291326.3,0.09,2019-1-1,57811009.35,,55039203.86,,279923.3,,48239915.12,,1485281442,,,,2109850653,-6722739.14,,13600036.85,,2020-3-16,16172492.13,97685221.27,,2169886611,,123301399.5,0,,2019-12-31,2019-12-31,,,,,,,,,-6722739.14,,,,,,8590272.77,61761943,-73988.36,4518378.98,,,,52020869.89,,,-6722739.14,,CNY,10002411,合并,年度报告,年度报告,,-10359255.93,-4534745.58
50564583.37,2020-3-3,,2936611.72,,904500342.1,0.1319,4328479.68,,,21217.26,4969.82,,,52806555.28,-11288.52,,2241971.91,-10544.18,,50575127.55,,54148420.52,0.1319,2019-1-1,50580097.37,,50568808.85,,,,39460656.98,,684484470.5,,2756611.72,,904500342.1,4225.48,,34501493.17,,2021-3-9,4733909.37,48499292.86,,869501976.3,,52173025.79,,-744.34,2019-12-31,2020-12-31,,,,,,4969.82,,,,,,4969.82,,,18694873.94,50564583.37,90834.72,1355782.69,,,,21248355.14,,,,,CNY,10002413,合并,年度报告,年度报告,,-8161237.34,-60155.97
317370039.3,2020-3-13,,-2701108.38,,1256021958,1.75,1855163.68,,,413788.28,23727557.81,,,352665694.4,5048785.09,,35295655.08,5048785.09,,312321254.2,,623038239.8,1.75,2019-1-1,336048812,,341097597.1,,-242187.94,,-11551873.57,,206642991.4,,-2420571.64,,1256021958,23727557.81,,11074371.44,,2021-3-12,14957240.63,351224319,,902990999.1,,58830029.5,0,,2019-12-31,2020-12-31,,,,,,23727557.81,,-32203.06,,,,23759760.87,,,3442879.04,317370039.3,-28310.28,14566967.78,,,,1055499.01,,,,,CNY,10002421,合并,年度报告,年度报告,,-1063875.13,-1214036.99
