resultno,reportdate,reportscope,reportperiod,scope,regioncode,industrytype
20190630410000D46,2019/06,合并,半年报,all,410000,D46
20191231440000J69,2019/12,合并,年报,all,440000,J69
20191231340000C38,2019/12,合并,年报,all,340000,C38
20190630310000C17,2019/06,合并,半年报,all,310000,C17
20191231110000F51,2019/12,合并,年报,all,110000,F51
20190630230000C37,2019/06,合并,半年报,all,230000,C37
20190630440000C34,2019/06,合并,半年报,all,440000,C34
20200930210000G53,2020/09,合并,季报,all,210000,G53
20200630520000F52,2020/06,合并,半年报,all,520000,F52
20200630350000F51,2020/06,合并,半年报,all,350000,F51
20200331620000C311,2020/03,合并,季报,all,620000,C31
20200331620000C31,2020/03,合并,季报,all,620000,C31
20190331230000C39,2019/03,合并,季报,all,230000,C39
20190630330000C41,2019/06,合并,半年报,all,330000,C41
20200930540000K70,2020/09,合并,季报,all,540000,K70
20190930440000A04,2019/09,合并,季报,all,440000,A04
20200930370000C37,2020/09,合并,季报,all,370000,C37
20200930500000C34,2020/09,合并,季报,all,500000,C34
20200630230000C35,2020/06,合并,半年报,all,230000,C35
20190630320000N77,2019/06,合并,半年报,all,320000,N77
20190630420000C26,2019/06,合并,半年报,all,420000,C26
20200630410000D44,2020/06,合并,半年报,all,410000,D44
20200630630000B09,2020/06,合并,半年报,all,630000,B09
20200331440000C38,2020/03,合并,季报,all,440000,C38
20200630360000C311,2020/06,合并,半年报,all,360000,C31
20200630360000C31,2020/06,合并,半年报,all,360000,C31
20190930210000F51,2019/09,合并,季报,all,210000,F51
20190630350000C22,2019/06,合并,半年报,all,350000,C22
20200630360000C40,2020/06,合并,半年报,all,360000,C40
20200331640000F52,2020/03,合并,季报,all,640000,F52
20200630130000C29,2020/06,合并,半年报,all,130000,C29
20200630430000I63,2020/06,合并,半年报,all,430000,I63
20190930310000G56,2019/09,合并,季报,all,310000,G56
20200630410000C35,2020/06,合并,半年报,all,410000,C35
20190331150000C37,2019/03,合并,季报,all,150000,C37
20200331130000C27,2020/03,合并,季报,all,130000,C27
20190630370000M74,2019/06,合并,半年报,all,370000,M74
20200930500000D45,2020/09,合并,季报,all,500000,D45
20200930630000E48,2020/09,合并,季报,all,630000,E48
20191231630000C27,2019/12,合并,年报,all,630000,C27
20190630360000C42,2019/06,合并,半年报,all,360000,C42
20200930510000M73,2020/09,合并,季报,all,510000,M73
20190930370000D44,2019/09,合并,季报,all,370000,D44
20200930340000C26,2020/09,合并,季报,all,340000,C26
20200930530000C25,2020/09,合并,季报,all,530000,C25
20190630440000D45,2019/06,合并,半年报,all,440000,D45
20190630230000D46,2019/06,合并,半年报,all,230000,D46
20190630310000J66,2019/06,合并,半年报,all,310000,J66
20190630410000C37,2019/06,合并,半年报,all,410000,C37
20200630420000G55,2020/06,合并,半年报,all,420000,G55
20200331150000C35,2020/03,合并,季报,all,150000,C35
20190930320000C36,2019/09,合并,季报,all,320000,C36
20190930420000J67,2019/09,合并,季报,all,420000,J67
20191231420000C37,2019/12,合并,年报,all,420000,C37
20191231320000J66,2019/12,合并,年报,all,320000,J66
20190930110000K70,2019/09,合并,季报,all,110000,K70
20191231370000C14,2019/12,合并,年报,all,370000,C14
20191231350000C42,2019/12,合并,年报,all,350000,C42
20191231450000C13,2019/12,合并,年报,all,450000,C13
20200331530000C26,2020/03,合并,季报,all,530000,C26
20190331320000C35,2019/03,合并,季报,all,320000,C35
20190331420000I64,2019/03,合并,季报,all,420000,I64
20191231440000C25,2019/12,合并,年报,all,440000,C25
20190630610000B11,2019/06,合并,半年报,all,610000,B11
20191231340000M74,2019/12,合并,年报,all,340000,M74
20190331510000L72,2019/03,合并,季报,all,510000,L72
20200630320000C39,2020/06,合并,半年报,all,320000,C39
20200930310000J69,2020/09,合并,季报,all,310000,J69
20200930410000C38,2020/09,合并,季报,all,410000,C38
20190331430000F52,2019/03,合并,季报,all,430000,F52
20190630140000C32,2019/06,合并,半年报,all,140000,C32
20190630440000N78,2019/06,合并,半年报,all,440000,N78
20200630500000E48,2020/06,合并,半年报,all,500000,E48
20191231330000E50,2019/12,合并,年报,all,330000,E50
20191231430000A01,2019/12,合并,年报,all,430000,A01
20190331310000G55,2019/03,合并,季报,all,310000,G55
20200331440000P83,2020/03,合并,季报,all,440000,P83
20200331440000Q83,2020/03,合并,季报,all,440000,Q83
20190930650000I65,2019/09,合并,季报,all,650000,I65
20200331370000D45,2020/03,合并,季报,all,370000,D45
20190331340000C27,2019/03,合并,季报,all,340000,C27
20191231210000K70,2019/12,合并,年报,all,210000,K70
20200331500000C37,2020/03,合并,季报,all,500000,C37
20190930650000C14,2019/09,合并,季报,all,650000,C14
20191231330000C21,2019/12,合并,年报,all,330000,C21
20200630150000N77,2020/06,合并,半年报,all,150000,N77
20200630650000C26,2020/06,合并,半年报,all,650000,C26
20191231410000C26,2019/12,合并,年报,all,410000,C26
20190331330000L72,2019/03,合并,季报,all,330000,L72
20191231310000N77,2019/12,合并,年报,all,310000,N77
20190331630000C38,2019/03,合并,季报,all,630000,C38
20190930370000B08,2019/09,合并,季报,all,370000,B08
20200930610000F52,2020/09,合并,季报,all,610000,F52
20200331330000R87,2020/03,合并,季报,all,330000,R87
20200331220000C30,2020/03,合并,季报,all,220000,C30
20200630320000E48,2020/06,合并,半年报,all,320000,E48
20191231340000A05,2019/12,合并,年报,all,340000,A05
20190331510000A03,2019/03,合并,季报,all,510000,A03
20191231440000G54,2019/12,合并,年报,all,440000,G54
20190630110000C311,2019/06,合并,半年报,all,110000,C31
