ASSETDEVALUELOSS,BASICEPS,CINCOMEBALANCE1,CINCOMEBALANCE2,COMBINETYPE,COMPANYCODE,CURRENCY,DILUTEDEPS,ENDDATE,EXCHANGEINCOME,FIRSTNOTICEDATE,FVALUEINCOME,INCOMETAX,INVESTINCOME,INVESTJOINTINCOME,ISLISTINGREPORT,LATESTNOTICEDATE,MINORITYCINCOME,MINORITYINCOME,NETPROFIT,NETPROFITBALANCE1,NETPROFITBALANCE2,NETPROFITOTHER1,NETPROFITOTHER2,NONOPERATEEXP,NONOPERATEREVE,OPERATEEXP,OPERATEEXPBALANCE,OPERATEEXPOTHER,OPERATEMANAGEEXP,OPERATEPROFIT,OPERATEPROFITBALANCE,OPERATEPROFITOTHER,OPERATEREVE,OPERATETAX,OTHERCINCOME,OTHEREXP,OTHERREVE,PARENTCINCOME,PARENTNETPROFIT,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,REVEBALANCE,REVEOTHER,STARTDATE,SUMCINCOME,SUMPROFIT,SUMPROFITBALANCE,SUMPROFITOTHER,OTHERCINCOMECANTREC,REMEDEFINEDBENEFIT,INVESTEDCANTREC,CANTRECOTHER,CANTRECBALANCE,OTHERCINCOMEREC,INVESTEDREC,FVALUEOSALABLE,MATURITYRECSALABLE,EFFECTIVECAFLHEDGING,DIFFCONVERSIONFC,RECOTHER,RECBALANCE,OTHERCINCOMEOTHER,OTHERCINCOMEBALANCE,NONLASSETREVE,NONLASSETNETLOSS,PARENTOTHERCINCOME,PAROTHCINOTHER,PAROTHCINBALA,MINORITYOTHERCINCOME,FINDATATYPECODE,ADISPOSALINCOME,CONTINUOUSONPROFIT,TERMINATIONONPROFIT,MIOTHERINCOME,CREDDEVALUELOSS,OTHERRIGHT_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE,FINANCE_OCI_AMT,CREDITOR_IMPAIRMENT_RESERVE,ACF_END_INCOME,AMORTISEDUTYRESERVE,AMORTISEINDEMNITYEXP,AMORTISERIEXP,BANKINTEXP,BANKINTNREVE,BANKINTREVE,COMMEXP,DUTYRESERVE,FINANCEEXP,INDEMNITYEXP,INSURREVE,INTEXP,NINSURCOMMEXP,NINSURCOMMNREVE,NINSURCOMMREVE,POLICYDIVIEXP,PREMIUMEARNED,PREMIUMEARNEDBALANCE,RIEXP,RIPREMIUM,RIREVE,SURRENDERPREMIUM,UNDUERESERVE,AGENTTRADESECURITY,CLIENTASSETMANAGE,COMMNREVE,COMMNREVEOTHER,FINACONSULT,FUNDMANAGE,FUNDSALE,INTNREVE,SECURITYBROKER,SECURITYUW,SPONSOR,BROKER_FEE_NI,INVESTBANK_FEE_NI,ASSETMANAGE_FEE_NI
8062000000,2.05,,,合并,10009950,CNY,2.05,2020-12-31,-67000000,2020-3-26,14419000000,781000000,1.6248E+11,9159000000,1,2021-3-26,792000000,727000000,59014000000,,,,,335000000,140000000,6.85175E+11,0,4.58616E+11,42008000000,59990000000,0,,7.45165E+11,951000000,34912000000,21486000000,7947000000,93134000000,58287000000,2019-12-31,年度报告,年度报告,0,,2019-1-1,93926000000,59795000000,0,,-76000000,,-76000000,,,34923000000,687000000,52099000000,-14641000000,,230000000,,,,,,,34847000000,,,65000000,2,6000000,59014000000,,102000000,,,,,-3452000000,,,-721000000,-3704000000,-570000000,,,,81396000000,3.35122E+11,,1.27919E+11,5.67086E+11,,,,,22375000000,5.60278E+11,,,5238000000,5000000,50851000000,1570000000,,,,,,,,,,,,,,
,8.41,,,合并,10009951,CNY,8.38,2020-12-31,779000000,2020-2-21,44091000000,20374000000,77497000000,23224000000,1,2021-2-4,15671000000,14958000000,1.64365E+11,,,,,716000000,427000000,9.83839E+11,0,5.22782E+11,1.72892E+11,1.85028E+11,0,,1.16887E+12,4272000000,9232000000,65439000000,60172000000,1.57926E+11,1.49407E+11,2019-12-31,年度报告,年度报告,0,99991000000,2019-1-1,1.73597E+11,1.84739E+11,0,,5890000000,,1697000000,-3006000000,,2629000000,204000000,,,,469000000,1956000000,,,,,,8519000000,,,713000000,2,105000000,1.64365E+11,,3036000000,65270000000,7199000000,,,,,45000000,-107000000,-11263000000,-7572000000,86434000000,90187000000,1.76621E+11,1.14753E+11,2.87028E+11,,2.2503E+11,7.95064E+11,,10570000000,44230000000,54800000000,19329000000,7.48779E+11,,13000000,21370000000,115000000,26661000000,24915000000,,,,,,,,,,,,,,
2454000000,3.06,,,合并,10009954,CNY,3.06,2020-12-31,56000000,2020-3-23,801000000,-388000000,67762000000,494000000,1,2021-3-29,802000000,613000000,28354000000,,,,,183000000,82000000,3.57422E+11,0,2.38911E+11,45439000000,28067000000,0,,3.85489E+11,882000000,10346000000,4454000000,3484000000,37898000000,27741000000,2019-12-31,年度报告,年度报告,0,,2019-1-1,38700000000,27966000000,0,,,,,,,10346000000,,13716000000,,,13000000,-3383000000,,,,,,10346000000,,,,2,15000000,28354000000,,125000000,,,,,,,,-1490000000,-10858000000,-7418000000,,,,46853000000,1.22776E+11,,1.28541E+11,3.47517E+11,3511000000,,,,10777000000,3.13246E+11,,455000000,22358000000,998000000,11104000000,11913000000,,,,,,,,,,,,,,
2036000000,4.67,,,合并,10009978,CNY,4.67,2020-12-31,40000000,2020-3-26,2647000000,-1339000000,35729000000,502000000,1,2021-3-25,1000000,1000000,14560000000,,,,,136000000,71000000,1.6128E+11,0,1.12938E+11,13783000000,13286000000,0,,1.74566E+11,192000000,6751000000,3174000000,682000000,21310000000,14559000000,2019-12-31,年度报告,年度报告,0,,2019-1-1,21311000000,13221000000,0,,,,,,,6751000000,-60000000,16357000000,,,6000000,-7286000000,,,,,,6751000000,,,,2,-1000000,14560000000,,66000000,,,,-2266000000,,,,-399000000,-1045000000,-746000000,,,,16871000000,53734000000,,60648000000,1.38131E+11,,,,,42000000,1.35403E+11,,,2427000000,,12990000000,301000000,,,,,,,,,,,,,,
678454331.4,0.36,,,合并,10005565,CNY,0.36,2019-12-31,-1522673.94,2020-4-15,-894954.08,714890775.6,10549700385,148890819.7,1,2020-4-15,1725052624,1142617858,2918553069,,,,,16171823.89,218746663.8,46761215318,0,29855256539,2116459260,3430869005,0,,50192084322,63938396.54,1188642380,3282135895,2059540037,2382142825,1775935211,2019-12-31,年度报告,年度报告,0,,2019-1-1,4107195449,3633443845,0,,,,,,,606207613.7,24664924.11,544698545.4,,,,36844144.24,,,,,,606207613.7,,,582434766.1,2,1589483.13,2918553069,,7617844.35,,,,,,,,14557112116,-75028980.69,-8814193.92,,,,3532122119,28504610422,,1442215946,37695972551,,,,,31830421.47,37576054202,,,127214181.4,,7209832549,-7295831.63,,,,,,,,,,,,,,
,-1.7519,,,合并,10002488,CNY,-1.7519,2019-12-31,1636635.71,2020-4-30,940285230,458039725.6,-3261208002,978681913.3,1,2020-10-28,-1419067339,-1337706773,-3252670688,,,,,552545082,50449570.51,19312165980,0,7970418364,4168971788,-2292535451,0,,17019630529,194736147.9,111636649.8,1519252110,524223959.8,-1721966699,-1914963915,2019-12-31,更正公告,年度报告,0,,2019-1-1,-3141034038,-2794630962,0,,269576622.3,,3265849.75,,,-76579406.11,-56127382.41,,,,,7279615.98,,,,,,192997216.2,,,-81360566.33,2,-121932.53,-3252670688,,10237896.71,-24665507.81,266310772.5,,-12837273.79,,-14894365.89,,14166175.4,-205683059.5,-129207985.4,,4307007710,4307007710,2791275845,-370418262.2,861734.19,8373048778,15632049843,2816738296,,,,,14497569031,,3785188.21,456478190,13921739.84,,678002622.4,,,,,,,,,,,,,,
2068000000,0.51,,,合并,10009971,CNY,0.51,2020-12-31,173000000,2020-3-28,527000000,-1915000000,49722000000,12566000000,1,2021-3-24,13302000000,9294000000,31695000000,,,,,388000000,372000000,5.25719E+11,0,3.12487E+11,92455000000,29796000000,0,,5.55515E+11,2117000000,15711000000,7962000000,3270000000,34104000000,22401000000,2019-12-31,年度报告,年度报告,0,,2019-1-1,47406000000,29780000000,0,,-80000000,-81000000,1000000,,,11783000000,156000000,11482000000,,,22000000,123000000,,,,,,11703000000,,,4008000000,2,73000000,31695000000,,327000000,,,,,,,,-1560000000,-21482000000,-9871000000,,,,66448000000,40566000000,,2.95909E+11,5.55271E+11,,,,,1975000000,5.01423E+11,,733000000,35342000000,2845000000,49345000000,18506000000,,,,,,,,,,,,,,
,0.26,,,合并,10004822,CNY,0.26,2019-12-31,-25834417.85,2020-4-25,1556529557,714250716.1,2600764747,62659898.99,1,2020-4-25,195347033.8,152755245.8,1915292415,,,,,33601446.87,2501685.77,11588892970,0,-2016638.57,6029349102,2660642892,0,,14249535861,59575467.11,396017162.6,4753034732,4743753713,2115962544,1762537169,2019-12-31,年度报告,年度报告,0,,2019-1-1,2311309577,2629543131,0,,88908045.54,,,,,264517329,-118907.53,,,,49750949.53,,,,,,,353425374.6,,,42591788.01,3,-381594.04,1915292415,,230365172.1,748950306.6,88908045.54,,214726373.5,,158913.58,,,,,,,,,,,,,,,,,,,,,,,,,1563258799,295267614.8,4393815286,,,,,750523398.1,,743916590.9,,,,
,0.12,,,合并,10004823,CNY,0.12,2019-12-31,1124965.79,2020-4-25,-703790131.2,146391644.7,1918070762,,1,2020-4-25,-24725145.2,-24725145.2,982870486.4,,,,,18679111.46,42421475.47,5489422214,0,,4744571417,1105519767,0,,6594941981,47981025.95,194340160.6,227526855.6,267726770.9,1201935792,1007595632,2019-12-31,年度报告,年度报告,0,,2019-1-1,1177210647,1129262131,0,,179597539.5,,,,,14742621.13,,,,,8166451.62,19927246.57,,,,,,194340160.6,,,,3,3292312.98,982870486.4,,61831934.87,469342916.2,179597539.5,,-49882845.16,,36531768.1,,,,,,,,,,,,,,,,,,,,,,,,,2756328754,331419236.5,3670492804,,,,,1376192562,,501257276.3,,,,
,1.04,,,合并,10004828,CNY,1.03,2020-12-31,147877088.8,2020-3-31,2057306161,2528752207,9849087197,2726449357,1,2021-3-24,80420019.62,55568836.15,9057212855,,,,,37975462.19,16005633.05,13255077135,0,-2616912.52,11367308599,11607934891,0,,24863012026,151890239.8,634281123.9,1018946170,1151555357,9611073959,9001644019,2019-12-31,年度报告,年度报告,0,,2019-1-1,9691493979,11585965062,0,,371031815.6,,,,,238398124.8,95530606.02,,,,137407495.8,,,,,,,609429940.5,,,24851183.47,3,447104.6,9057212855,,247437175.8,719549038.3,371031815.6,,1110613.61,,4349409.45,11841728.48,,,,,,,,,,,,,,,,,,,,,,,,4107905503,2772083017,9287627848,,,,,2121674094,,1947276669,,,,
