ACCEPTINVREC,BUYFILASSETPAY,BUYSELLBACKFASSETPAY,BUYSELLBACKFASSETREC,CASHEQUIBEGINNING,CASHEQUIENDING,CASHEQUIENDINGBALANCE,CASHEQUIENDINGOTHER,COMBINETYPE,COMPANYCODE,CURRENCY,DISPFILASSETREC,DISPOSALINVREC,DISPSUBSIDIARYREC,DIVIPROFITORINTPAY,EFFECTEXCHANGERATE,EMPLOYEEPAY,ENDDATE,FINAFLOWBALANCE,FINAFLOWINBALANCE,FINAFLOWINOTHER,FINAFLOWOTHER,FINAFLOWOUTBALANCE,FINAFLOWOUTOTHER,FIRSTNOTICEDATE,INTANDCOMMPAY,INTANDCOMMREC,INVFLOWINBALANCE,INVFLOWINOTHER,INVFLOWOTHER,INVFLOWOUTBALANCE,INVFLOWOUTOTHER,INVINCOMEREC,INVPAY,ISSUEBONDREC,LATESTNOTICEDATE,LOANREC,NETFINACASHFLOW,NETINVCASHFLOW,NETOPERATECASHFLOW,NICASHEQUI,NICASHEQUIBALANCE,NICASHEQUIOTHER,NILENDFUND,OPERATEFLOWBALANCE,OPERATEFLOWINBALANCE,OPERATEFLOWINOTHER,OPERATEFLOWOTHER,OPERATEFLOWOUTBALANCE,OPERATEFLOWOUTOTHER,OTHERFINAPAY,OTHERFINAREC,OTHERINVPAY,OTHERINVREC,OTHEROPERATEPAY,OTHEROPERATEREC,REPAYDEBTPAY,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,STARTDATE,SUMFINAFLOWIN,SUMFINAFLOWOUT,SUMINVFLOWIN,SUMINVFLOWOUT,SUMOPERATEFLOWIN,SUMOPERATEFLOWOUT,TAXPAY,TAXRETURNREC,BUYSUBSIDIARYPAY,DISPSUBSIDIARYPAY,DIVIPAY,INDEMNITYPAY,INVCASHFLOWBALANCE,NDBUYSELLBACK,NDDEPOSITINCBANKFI,NDINSUREDDEPOSITINV,NDLENDFUND,NDSELLBUYBACK,NETRIPAY,NETRIREC,NETSELLBUYBACKFASSETPAY,NETSELLBUYBACKFASSETREC,NETTRADEFASSETPAY,NETTRADEFASSETREC,NIBUYSELLBACK,NIDEPOSIT,NIDEPOSITINCBANKFI,NIINSUREDDEPOSITINV,NIINSUREDPLEDGELOAN,NILOANADVANCES,NISELLBUYBACK,PREMIUMREC,AGENTTRADESECURITYPAY,AGENTTRADESECURITYREC,AGENTUWSECURITYREC,GETSUBSIDIARYPAY,INVCASHFLOWBALANCE,NDBORROWFUND,NDBUYBACKFUND,NDDIRECTINV,NDDISPSALEABLEFASSET,NDDISPTRADEFASSET,NDOTHERFINAINSTR,NDTRADESETTLEMENT,NIBORROWFUND,NIBUYBACKFUND,NIDIRECTINV,NIDISPSALEABLEFASSET,NIDISPTRADEFASSET,NIOTHERFINAINSTRU,NITRADESETTLEMENT,SUBSIDIARYACCEPT,SUBSIDIARYPAY,UWSECURITYREC
12961000000,11415000000,,5468000000,50809000000,53306000000,0,,合并,10009950,CNY,72000000,8.78997E+11,1432000000,8247000000,55000000,24131000000,2020-12-31,0,0,,,0,,2020-3-26,79246000000,,0,,,0,,1.42015E+11,1.23138E+12,,2021-3-26,35111000000,-36075000000,-2.47515E+11,2.86032E+11,2497000000,0,,,0,0,1213000000,,0,,1983000000,,,,28730000000,8622000000,365000000,2019-12-31,年度报告,年度报告,2019-1-1,48072000000,84147000000,1.02798E+12,1.2755E+12,6.22965E+11,3.36933E+11,11813000000,,,,14359000000,1.77215E+11,0,,,,,,1439000000,,73552000000,,,17837000000,,,,12824000000,32707000000,,,5.82469E+11,,,,,,,,,,,,,,,,,,,,,,
28945000000,12210000000,,,3.08024E+11,3.03466E+11,0,,合并,10009951,CNY,2506000000,1.53644E+12,2916000000,69926000000,1077000000,74456000000,2020-12-31,0,0,,,0,16608000000,2020-2-21,2.05262E+11,2.29656E+11,0,,,0,,1.83635E+11,2.06699E+12,6.77834E+11,2021-2-4,2.10907E+11,1.25077E+11,-3.80157E+11,2.49445E+11,-4558000000,0,,,0,0,2311000000,,0,1.37867E+11,5052000000,1026000000,,1451000000,1.50959E+11,1.42283E+11,6.64271E+11,2019-12-31,年度报告,年度报告,2019-1-1,9.18712E+11,7.93635E+11,1.72694E+12,2.1071E+12,1.52278E+12,1.27334E+12,77376000000,,396000000,,14691000000,2.22773E+11,0,342000000,19864000000,,10698000000,,4334000000,,37778000000,,,,,2.6902E+11,,43412000000,27501000000,3.74919E+11,23322000000,7.9257E+11,,,,,,,,,,,,,,,,,,,,,,
229000000,3475000000,,,38121000000,42546000000,0,,合并,10009954,CNY,61000000,2.74369E+11,3000000,12211000000,29000000,23532000000,2020-12-31,0,0,,,0,,2020-3-23,47924000000,,0,,,0,,61689000000,4.17465E+11,,2021-3-29,,-10544000000,-96855000000,1.11795E+11,4425000000,0,,,0,0,,,0,,1542000000,6515000000,954000000,,34180000000,4732000000,6750000000,2019-12-31,年度报告,年度报告,2019-1-1,9959000000,20503000000,3.36122E+11,4.32977E+11,3.67148E+11,2.55353E+11,12227000000,4000000,2943000000,,8602000000,1.24698E+11,0,,,,,,4190000000,,,3215000000,,,,,,9006000000,8140000000,,,3.53406E+11,,,,,,,,,,,,,,,,,,,,,,
326000000,5042000000,1460000000,,9005000000,11765000000,0,,合并,10009978,CNY,41000000,1.80152E+11,,2543000000,31000000,8685000000,2020-12-31,0,0,,,0,4546000000,2020-3-26,16708000000,,0,63000000,,0,,34926000000,2.90406E+11,,2021-3-25,,46263000000,-85636000000,42102000000,2760000000,0,,,0,0,,,0,,,,89000000,,3126000000,1315000000,,2019-12-31,年度报告,年度报告,2019-1-1,53352000000,7089000000,2.15182E+11,3.00818E+11,1.46322E+11,1.0422E+11,1583000000,18000000,,,42000000,73252000000,0,,,,,,824000000,,,53026000000,,,,,,4291000000,3821000000,,,1.40698E+11,,,,,,,,,,,,,,,,,,,,,,
2000000,717099884.6,,,18300386266,12979548590,0,,合并,10005565,CNY,80522606.36,79725037002,258830277.1,342720974,-1359789.53,867123068.7,2019-12-31,0,0,,,0,,2020-4-15,4238583689,,0,,,0,700080000,9217544909,1.23083E+11,,2020-4-15,,1125285026,-35044321429,28599558517,-5320837676,0,,,0,0,367597220.9,,0,189379732.4,,,,323000000,9029407309,1593011822,102750000,2019-12-31,年度报告,年度报告,2019-1-1,1570756000,445470974,89604934794,1.24649E+11,45552770524,16953212007,1033808339,4348555.41,,,49451872.74,1489106796,0,,,,,,56351200.72,,,1568756000,,,,,,5943786951,149297524.3,,,37644025975,,,,,,,,,,,,,,,,,,,,,,
,417362442.5,,,1867450977,1179568905,0,,合并,10002488,CNY,3569384455,62772367111,,495248491.9,1636635.71,2368691827,2019-12-31,0,0,,,0,,2020-4-30,2804703511,,0,,,0,,594232033.3,17317703939,,2020-10-28,614561211.9,5395955378,49606486642,-55691960728,-687882072.4,0,,,0,0,358212669.9,,0,488365489.8,9051357342,14618000000,50386187000,50791756425,1849994064,133069422,290000000,2019-12-31,更正公告,年度报告,2019-1-1,15232561212,9836605834,1.17728E+11,68121253381,17049499561,72741460289,1129883211,1691990.45,,,,8289476771,0,,,55797465648,,,12879768.27,,,,,,,,,,,,,16556525479,,,,,,,,,,,,,,,,,,,,,,
,5254000000,,,61601000000,76984000000,0,,合并,10009971,CNY,356000000,2.29888E+11,,8431000000,55000000,49841000000,2020-12-31,0,0,,,0,1205000000,2020-3-28,67826000000,,0,,,0,,41073000000,2.713E+11,,2021-3-24,,-15181000000,-6299000000,36808000000,15383000000,0,,,0,0,,,0,,119000000,,91000000,,98020000000,6191000000,8800000000,2019-12-31,年度报告,年度报告,2019-1-1,3374000000,18555000000,2.71317E+11,2.77616E+11,5.71017E+11,5.34209E+11,17399000000,,,,1791000000,2.92847E+11,0,,,3345000000,,,3140000000,,,3374000000,,,,,,,971000000,,,5.64826E+11,,,,,,,,,,,,,,,,,,,,,,
,282873629.3,,,32286006031,52909338432,0,,合并,10004822,CNY,4481718.75,3183216425,,3345205169,-25834417.85,3348995542,2019-12-31,0,0,,,0,,2020-4-25,1653730143,8923992776,0,,,0,,1464832263,,24351150827,2020-4-25,16146421601,-2064238472,4369656778,18343748513,20623332401,0,,,0,0,2019606656,,0,,,,,,8431254859,5676121742,39216605732,2019-12-31,年度报告,年度报告,2019-1-1,40497572428,42561810900,4652530407,282873629.3,39674358378,21330609864,2872310692,,,,,,,,,,,,,,,,,,,,,,,,,,,10111154524,,,0,500000000,,,,,,,,12943482681,,,,,,,106080299.7,
28509685.65,241069111.7,,,33936592219,39557712926,0,,合并,10004823,CNY,1524022.94,,,2508323447,1124965.79,2640101714,2019-12-31,0,0,,,0,,2020-4-25,2152827998,7554871316,0,,,0,,,,,2020-4-25,,-19448797688,-239545088.8,25308338518,5621120707,0,,,0,0,8975654473,,0,,5468350936,,,,9164429675,13974928118,11500632991,2019-12-31,年度报告,年度报告,2019-1-1,28509685.65,19477307374,1524022.94,241069111.7,42886590479,17578251960,470245492.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5084286636,,,0,,,,,,,,4200000000,3096849937,,,,,,28509685.65,24702450.53,
13649432821,1084940938,,,99628861432,1.5207E+11,0,,合并,10004828,CNY,,219876653,,6112451842,275457557.9,6075556082,2020-12-31,0,0,,,0,321399137.7,2020-3-31,10203421099,21956299732,0,,,0,,2481577826,4872153654,1.34155E+11,2021-3-24,2708340497,35669120344,-3943473190,20440490713,52441595425,0,,,0,0,,,0,1.05989E+11,126035526.4,,63743660,12463723.62,16549385398,35870697171,1.08284E+11,2019-12-31,年度报告,年度报告,2019-1-1,1.50513E+11,1.14844E+11,2713918203,6657391393,1.85227E+11,1.64786E+11,3157019043,,,,,,,,,,,,,,,,,,,,,,,,,,,30325744921,,636553140.7,0,,,,,,,,5549110954,91524709754,,,,,,896883230.3,648000,
