ACCOUNTPAY,AGENTTRADESECURITY,ANTICIPATELIAB,ASSETBALANCE,ASSETOTHER,BONDPAY,BORROWFUND,BUYSELLBACKFASSET,CAPITALRESERVE,COMBINETYPE,COMPANYCODE,CONSTRUCTIONPROGRESS,CURRENCY,DEFERINCOMETAXASSET,DEFERINCOMETAXLIAB,DEFINEFVALUEFASSET,DEFINEFVALUEFLIAB,DERIVEFASSET,DERIVEFLIAB,DIFFCONVERSIONFC,DIVIDENDPAY,ENDDATE,ESTATEINVEST,FIRSTNOTICEDATE,FIXEDASSET,FVALUEFASSET,FVALUEFLIAB,GDEPOSITPAY,GENERALRISKPREPARE,GOODWILL,HELDMATURITYINV,INTANGIBLEASSET,INTERESTPAY,INTERESTREC,LATESTNOTICEDATE,LENDFUND,LIABBALANCE,LIABOTHER,LIABSHEQUITYBALANCE,LIABSHEQUITYOTHER,LTBORROW,LTEQUITYINV,MINORITYEQUITY,MONETARYFUND,OTHERASSET,OTHERLIAB,PARENTEQUITYBALANCE,PARENTEQUITYOTHER,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,RETAINEDEARNING,SALARYPAY,SALEABLEFASSET,SELLBUYBACKFASSET,SETTLEMENTPROVISION,SHARECAPITAL,SHEQUITYBALANCE,SHEQUITYOTHER,STARTDATE,STBORROW,SUMASSET,SUMLIAB,SUMLIABSHEQUITY,SUMPARENTEQUITY,SUMSHEQUITY,SURPLUSRESERVE,TAXPAY,TRADEFASSET,TRADEFLIAB,OTHEREQUITY,PREFERREDSTOCK,SUSTAINABLEDEBT,OTHEREQUITYOTHER,OTHERCINCOME,PREFERSTOCBOND,SUSTAINBOND,SHORTFINANCING,AMORCOSTFASSET,FVALUECOMPFASSET,AMORCOSTFLIAB,HELDSALEASS,HELDSALELIAB,LTDEFERASSET,FINANCE_RECE,USERIGHT_ASSET,LEASE_LIAB,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB_NOTFVTPL,CREDITOR_INVEST,OTHER_CREDITOR_INVEST,OTHER_EQUITY_INVEST,NOTE_RECE,ACCEPTDEPOSIT,ACCOUNTREC,ADVANCEREC,BILLPAY,CAPITALGDEPOSITPAY,CLAIMPAY,CLAIMRESERVE,CLAIMRIRESERVEREC,COMMPAY,CONTACTRESERVE,CREDITORPLANINV,FIDEPOSIT,GDEPOSITREC,INDEPENDENTASSET,INDEPENDENTLIAB,INSUREDDEPOSITINV,INSUREDPLEDGELOAN,INVESTREC,JUNIORBONDPAY,LIFERESERVE,LIFERIRESERVEREC,LOANADVANCES,LTHEALTHRESERVE,LTHEALTHRIRESERVEREC,OTHERPAY,OTHERREC,POLICYDIVIPAY,PREMIUMADVANCE,PREMIUMREC,RICONTACTRESERVEREC,RIPAY,RIREC,TDEPOSIT,UNDUERESERVE,UNDUERIRESERVEREC,SUBROGATIONREC,AGENTUWSECURITY,CAGENTTRADESECURITY,CLIENTCREDITFUND,CLIENTFUND,CLIENTPROVISION,CREDITPROVISION,DIVIDENDREC,INVENTORYSHARE,MARGINOUTFUND,MARGINOUTSECURITY,PLEDGEBORROW,SEATFEE,TRADERISKPREPARE,AGENCYASSETS,AGENCYLIAB,RECEIVABLES,NOTE_PAYABLE
,,,0,,34990000000,,4467000000,55009000000,合并,10009950,14377000000,CNY,128000000,10330000000,,,428000000,,,,2020-12-31,12141000000,2020-3-26,36343000000,1.41606E+11,3859000000,,37888000000,,9.28751E+11,8070000000,,41455000000,2021-3-26,,0,,,,18930000000,2.22983E+11,5578000000,55082000000,5866000000,43780000000,0,,2019-12-31,年度报告,年度报告,1.70487E+11,12223000000,1.05896E+12,1.18088E+11,,28265000000,,,2019-1-1,1115000000,3.72673E+12,3.31739E+12,3.72673E+12,4.03764E+11,4.09342E+11,75161000000,897000000,,,7791000000,,,,29163000000,,,,,,,,,,,3520000000,3091000000,,,,,,,,,,,6333000000,51019000000,18404000000,145000000,7418000000,2.55274E+12,,,,10000000,10000000,2.67794E+11,,,,2.38613E+12,483000000,6.0892E+11,1.35201E+11,3356000000,16804000000,19595000000,1.12593E+11,60898000000,17281000000,4353000000,817000000,808000000,5.3526E+11,13001000000,369000000,,,,,,,,,,,,,,,,,,
4821000000,38645000000,,0,1.83957E+11,6.99631E+11,26271000000,96457000000,1.28651E+11,合并,10009951,,CNY,50301000000,22282000000,,,18957000000,24527000000,,,2020-12-31,54467000000,2020-2-21,42650000000,9.61073E+11,39458000000,,71964000000,20927000000,,27787000000,,,2021-2-4,79569000000,0,1.13331E+11,,,2.17087E+11,2.04135E+11,1.79209E+11,4.49909E+11,1.93052E+11,2.16025E+11,0,-5001000000,2019-12-31,年度报告,年度报告,4.33644E+11,39717000000,,1.76523E+11,6203000000,18280000000,,,2019-1-1,1.12285E+11,8.22293E+12,7.37056E+12,8.22293E+12,6.73161E+11,8.5237E+11,12164000000,20841000000,,,,,,,13459000000,,,,,,,,,,,16553000000,15986000000,,,2.28123E+12,4.58165E+11,2.82185E+11,,2.39307E+12,28579000000,,,12501000000,58732000000,,,11038000000,1.92191E+12,,3.55051E+11,,46131000000,46131000000,7.01635E+11,1.39326E+11,,,,,2.2404E+12,,,,,59082000000,42473000000,82416000000,17703000000,14012000000,11495000000,2.1681E+11,,,,,,,,,,,,,,,,,,,,
,,,0,,9988000000,,28045000000,66650000000,合并,10009954,1987000000,CNY,860000000,2911000000,,,,,,,2020-12-31,8283000000,2020-3-23,16378000000,4931000000,,,14329000000,1357000000,2.95247E+11,3652000000,516000000,19493000000,2021-3-29,,0,349000000,,,,20442000000,4893000000,14872000000,12397000000,20813000000,0,,2019-12-31,年度报告,年度报告,70602000000,5573000000,5.11822E+11,78366000000,,9062000000,,,2019-1-1,,1.52833E+12,1.34501E+12,1.52833E+12,1.78427E+11,1.8332E+11,4835000000,2166000000,,,,,,,12949000000,,,,,,,,,,,4130000000,3668000000,,,,,,,,,,,6658000000,21712000000,42504000000,6841000000,4364000000,1.06802E+12,,,,,,75576000000,57194000000,3.24013E+11,,8.91195E+11,1881000000,,72347000000,10453000000,,,25447000000,21000000000,17916000000,25560000000,4543000000,5340000000,1.47756E+11,61975000000,6385000000,,,,,,,,,,,,,,,,,,
,,29000000,0,,,,5682000000,23870000000,合并,10009978,4170000000,CNY,162000000,298000000,,,,,,,2020-12-31,9051000000,2020-3-26,10165000000,24409000000,501000000,,6067000000,,2.46212E+11,3726000000,,8671000000,2021-3-25,,0,517000000,,,,4917000000,10000000,11768000000,1938000000,119000000,0,,2019-12-31,年度报告,年度报告,40077000000,3905000000,3.87296E+11,68190000000,,3120000000,,,2019-1-1,,8.7897E+11,7.94509E+11,8.7897E+11,84451000000,84461000000,7357000000,289000000,,,,,,,3960000000,,,,,,,,,,,1152000000,961000000,,,,,,,,,,,1715000000,5704000000,1611000000,44000000,2353000000,6.58191E+11,,,,163000000,152000000,46366000000,35148000000,49434000000,,5.67985E+11,1433000000,,86493000000,1178000000,2533000000,3890000000,,4181000000,2233000000,2840000000,220000000,188000000,64040000000,2102000000,185000000,,,,,,,,,,,,,,,,,,
156513615.4,,,0,44426878897,,,700080000,11095295570,合并,10005565,99646827.34,CNY,944164095.1,1049410880,,,,,,,2020-9-30,9972946226,2020-4-15,467519817,2211803672,,,,6186323297,,109418168.7,,2133408184,2020-10-31,,0,1.61579E+11,,,,10184256907,13130420899,12991687928,,,0,,2019-12-31,三季度报告,年度报告,5828959152,151227333.8,1.10354E+11,6179753000,,4940629165,0,,2019-1-1,,2.05274E+11,1.7092E+11,2.05274E+11,21223052939,34353473838,196953610,223833669,,,,,,,-838784558.7,,,,,,,,,,,,,,,,,,,,19016965.39,49464971.55,,969250000,565074296,,27294610.91,623494232.5,,,,,,,,,,,,,,,,,,,19936488.13,173113222.1,,85798208.23,149097922.9,1835741844,,1946700.65,,,,,,,,,,,,,,,,,,
182044001.4,,,0,,6732189596,,,5969368126,合并,10002488,440393912.3,CNY,37288522.37,794600283.1,,,,,,,2020-9-30,2213196100,2020-4-30,1193462216,,,,,854566626.7,,1750375121,,,2021-1-26,,0,11871943.12,,,324977826.6,,14376947493,1180193882,653295911.6,7819693308,0,,2019-12-31,三季度报告,年度报告,2825646394,567798431.9,,45005643476,,1093064378,,,2019-1-1,290000000,1.00909E+11,75734046036,1.00909E+11,10798098869,25175046362,374075524.1,69565677.58,,,,,,,535944446.5,,,,,,,2498750000,,,,,,16741614560,,,65651038204,2558153445,,,117800486.2,,,3615193198,72614196.66,4609138695,257339951,263338893.3,10673821020,,,,,,1876727129,,,,,,,,,,,,565493019.8,370440996.3,466211064.1,483667233.5,481058943.3,84650349.49,6064682325,208871113.2,1408859.06,,,,,,,,,,,,,,,,,
,,,0,,48780000000,,53038000000,7516000000,合并,10009971,,CNY,8699000000,1486000000,,,,,,,2020-12-31,12445000000,2020-3-28,25636000000,27032000000,,,11885000000,,1.40398E+11,7807000000,,,2021-3-24,,0,2388000000,,,,1.17083E+11,63706000000,24064000000,11734000000,4163000000,0,1235000000,2019-12-31,年度报告,年度报告,93939000000,18756000000,3.16901E+11,58263000000,,44224000000,,,2019-1-1,,1.13277E+12,8.85932E+11,1.13277E+12,1.83133E+11,2.46839E+11,12551000000,8551000000,,,,,,,11783000000,,,,,,,,,,,3307000000,3051000000,,,,,,,,,,,12994000000,10272000000,1.5392E+11,17058000000,8240000000,6.15686E+11,,,,,,41014000000,4508000000,1.82858E+11,,2.70475E+11,15000000,,30683000000,1534000000,15622000000,12817000000,3816000000,26798000000,39292000000,28974000000,19046000000,16175000000,87009000000,1.60608E+11,10367000000,,,,,,,,,,,,,,,,,,
2133791583,34604898441,3400000,0,,45375193661,505444444.4,8627869455,14374587738,合并,10004822,,CNY,1036594700,10805777.24,,,15379993.11,18023444.6,,,2020-9-30,151880669,2020-4-25,606697731.5,,,4174674771,4166681951,12264149.78,,200171764.9,,,2020-10-31,,0,,,,2999186930,1773261294,2611416930,47637137012,2509226494,634819545.9,0,,2019-12-31,三季度报告,年度报告,6978612570,4343811032,,25756432947,6640493386,6696671674,0,,2019-1-1,5883211120,1.70575E+11,1.33531E+11,1.70575E+11,34432270051,37043686982,1716990955,903660728.3,,,,,,,498725163.4,,,6365189163,,,,,,,,,,48549780286,3993399432,,22996386470,2495987365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25536800242,5817385083,,,,20735063328,,,,,,,2412086361,
8561417152,25111795977,132600448.4,0,,19939519051,5915946944,3853273932,16376028946,合并,10004823,14521120.38,CNY,431637049.2,6265273.27,,,3963245.5,221311163.1,,,2020-9-30,171374388.7,2020-4-25,509644514.2,,,4974011036,3737116520,4523034174,,262160983.3,,,2020-10-31,,0,33381442.57,,,,,928575096.7,32774928025,1866751893,230805946.4,0,,2019-12-31,三季度报告,年度报告,8467775867,1327393196,,21291594889,6905622238,8232101395,0,,2019-1-1,,1.36595E+11,97114809391,1.36595E+11,38551805514,39480380611,1463783728,342889591.4,,,,,,,332810077.2,,,2017503661,,,,,,,,,,29503157282,11982384656,,24901391747,5041986770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25418478209,5168823183,,,57811018.72,20282441858,,,,,,,575289743.5,
11311169937,89817920455,101047.62,0,,64616357878,11362598056,18466280279,70290533441,合并,10004828,29969286.34,CNY,202825303.3,2566799588,,,1858041023,1278399239,,,2020-12-31,527089181.2,2020-3-31,3669141549,,,12653540296,14084426256,2333861981,,5711457190,,,2021-3-24,,0,19178960.05,,,850996762.3,15639004960,3117228745,1.17098E+11,1140939660,74424601054,0,,2019-12-31,年度报告,年度报告,23178411266,8934386468,,1.09719E+11,22470512482,9076650000,0,,2019-1-1,5724131184,5.62181E+11,4.36526E+11,5.62181E+11,1.22537E+11,1.25655E+11,5118690488,1128392499,,,,,,,788767977.4,,,46425195900,,,,,,,,969005171.5,962441274.7,2.52796E+11,7380183359,19739757154,2013233369,10344741833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4031799.99,,,67244929391,15714908869,,,,69006279731,,,,,,,5511167782,
