SerialNo,Tdate,Scope,ItemNo,ItemName,ValMax,ValBig,ValAvg,ValLow,ValMin,IndustryType1,IndustryType2,IndustryType3
20210118006859,2019/12,M,BC-LJ,两金占流动资产比重（％）,22.3,34.8,45.1,55.2,62,建筑业,02,E47
20210118000441,2019/12,L,ZC-RRCA,资产现金回收率（％）,27.6,14.9,6.8,2.4,-6.6,石油石化工业,0102,B07
20210118007085,2019/12,L,6025,销售（营业）利润增长率（％）,27.6,17,10.5,-8.9,-23.9,房屋建筑业,020101,E47
20210118011702,2019/12,A,JY,四、经营增长状况,,,,,,地方建筑业,13,
20210118004982,2019/12,A,BC-CAR,资本积累率（％）,36.2,21.2,7.5,-5.2,-19.7,电子工业,0112,C39
20210118006552,2019/12,A,707,带息负债比率（％）,9,20.2,31.4,46.3,68.4,印刷业记录媒介复制业,011507,null
20210118005654,2019/12,A,658,流动资产周转率（次）,2.9,1.8,1,0.7,0.4,水力发电业,01130102,D4412
20210118010549,2019/12,A,JY-CPAR,资本保值增值率（％）,108.1,104.4,100.4,97.4,88.6,市政公用业,0808,D443
20210118010775,2019/12,A,717,现金流动负债比率（％）,21.7,15.7,4.4,-6.9,-13.7,文化艺术业,0903,R87
20210118002787,2019/12,L,6007,已获利息倍数,6.9,6.2,5.5,4.4,3,医药工业,0110,C27
20210118001487,2019/12,A,703,总资产报酬率（％）,10.3,6.8,3.7,-0.7,-7,建筑用金属制品业,010407,C335
20210118000496,2019/12,S,648,净资产收益率（％）,7.2,5.4,3,-1.6,-3.5,石油石化工业,0102,B07
20210118000078,2019/12,M,ZC-RRCA,资产现金回收率（％）,19.1,11.5,3.3,-1.2,-9,全国国有企业,00,null
20210118006219,2019/12,L,6007,已获利息倍数,9.1,8.5,7,5,2.5,酒和饮料制造业,011502,C15
20210118011570,2019/12,A,JY,四、经营增长状况,,,,,,地方电子工业,1210,
20210118005333,2019/12,M,JY,四、经营增长状况,,,,,,电力热力燃气工业,0113,
20210118009449,2019/12,S,658,流动资产周转率（次）,4.2,2.7,0.7,0.4,0.2,住宿和餐饮业,06,H61
20210118004603,2019/12,A,602,速动比率（％）,146.4,118.5,80.8,61,46.6,电工器材制造业,01110503,C383
20210118000939,2019/12,A,6007,已获利息倍数,3.4,2.2,1,-0.6,-3,黑色金属矿采选业,010301,B08
20210118006373,2019/12,A,YL-SCPM,盈余现金保障倍数,9.3,7.8,6.2,4.3,1.9,制茶业,01150203,C1530
20210118003523,2019/12,S,JY-TIR,技术投入比率（％）,3.3,2.2,1.6,1.3,0.1,专用设备制造业,011103,C35
20210118010441,2019/12,A,ZW,三、债务风险状况,,,,,,资产管理公司,080503,
20210118011254,2019/12,A,648,净资产收益率（％）,12,7.2,3.5,-2.3,-7.4,地方冶金工业,1202,null
20210118003680,2019/12,A,717,现金流动负债比率（％）,16.5,10.3,3.8,-3,-8,化工木材非金属加工设备制造业,01110302,null
20210118005189,2019/12,A,662,总资产周转率（次）,1.1,0.9,0.7,0.5,0.4,电子元器件制造业,011204,null
20210118003817,2019/12,A,JY-CPAR,资本保值增值率（％）,118.7,111.7,106,101.4,93.7,电子和电工机械专用设备制造业,01110306,null
20210118011074,2019/12,A,ZW-CLR,或有负债比率（％）,0.3,1.3,6,14.7,23.3,林业,1002,A02
20210118002623,2019/12,A,602,速动比率（％）,119,91.8,68.2,55,41.7,棉化纤纺织业,010901,null
20210118010762,2019/12,A,YL-SCPM,盈余现金保障倍数,9.6,6.5,1.1,-2.9,-7.5,文化艺术业,0903,R87
20210118006911,2019/12,A,612,资产负债率（％）,65.9,71.1,75.6,87.5,93,房屋和土木工程建筑业,0201,null
20210118009188,2019/12,L,612,资产负债率（％）,53.6,58.6,63.6,73.6,88.6,粮食业,0503,F511
20210118000159,2019/12,A,652,存货周转率（次）,17,9.6,4.8,2.5,1.1,工业,01,B
20210118010894,2019/12,S,YL-SCPM,盈余现金保障倍数,10.4,4.4,1.5,-1.4,-3.9,农林牧渔业,10,A01
20210118009497,2019/12,A,BC,五、补充资料,,,,,,住宿业,0601,
20210118005642,2019/12,S,BC-CAR,资本积累率（％）,19.3,12.1,3.9,-4.1,-11.5,火力发电业,01130101,D4411
20210118004755,2019/12,M,6016,销售（营业）利润率（％）,17.7,13.9,5,-3.2,-8.4,仪器仪表及文化办公用制造业,011106,null
20210118002496,2019/12,A,6024,销售（营业）增长率（％）,17.5,8.7,1.9,-6.8,-13.8,纺织工业,0109,C17
20210118004617,2019/12,A,BC-EVAR,经济增加值率（％）,9.4,5.6,0.6,-4.1,-11.6,电工器材制造业,01110503,C383
20210118011314,2019/12,A,BC-LJ,两金占流动资产比重（％）,8.4,26.7,38.1,43.3,53.3,地方建材工业,1203,null
20210118000905,2019/12,S,612,资产负债率（％）,48.6,53.6,58.6,68.6,83.6,冶金工业,0103,"B08,B0911,B0912,B0913,B0914,B0915,B0916,B0917,B0919,B0921,B0922,B0929,B0931,B0932,B0939,C31,C32"
20210118006866,2019/12,S,703,总资产报酬率（％）,8.4,4.7,1.4,-1.3,-3.4,建筑业,02,E47
20210118010236,2019/12,L,YL-ROC,资本收益率（％）,25.3,12.3,7.5,5.3,-9.7,大旅游,0804,L727
20210118010264,2019/12,M,648,净资产收益率（％）,10.5,8.3,5.7,-0.1,-7.1,大旅游,0804,L727
20210118002202,2019/12,M,697,总资产增长率（％）,20.7,12.2,4.6,-3.3,-8.3,食品工业,0107,C13
20210118009466,2019/12,S,BC-LJ,两金占流动资产比重（％）,0.7,9.2,27.9,40.5,51.8,住宿和餐饮业,06,H61
20210118008839,2019/12,A,BC-LJ,两金占流动资产比重（％）,12.3,21.2,34.1,44.5,56.1,文化、体育用品及器材批发与零售,050103,F514
20210118001646,2019/12,S,BC-RC,成本费用占营业总收入比重（％）,78,87.5,95.2,99.3,109.1,化学工业,0105,B1020
20210118000320,2019/12,L,6025,销售（营业）利润增长率（％）,27.3,17,7.3,-7,-16.3,煤炭工业,0101,B06
20210118005955,2019/12,A,6007,已获利息倍数,8.9,5.7,2.9,-1.1,-3.6,燃气生产和供应业,011304,D45
20210118004646,2019/12,A,BC,五、补充资料,,,,,,家用电器制造业,01110504,
20210118009259,2019/12,S,ZW-CLR,或有负债比率（％）,0.6,1.5,6.2,14.8,24.1,粮食业,0503,F511
20210118007976,2019/12,A,6025,销售（营业）利润增长率（％）,27.3,19.7,10.1,1.4,-14.4,港口业,030401,G553
20210118002268,2019/12,A,697,总资产增长率（％）,1.6,1.1,0.6,0.4,0.3,食品加工业,010701,C13
